merchant,western,japan,service,location,meat,alcohol,cafe,time
비하인드,0.0,0.0,0.0238095238095238,0.0476190476190476,0.0,0.0,0.4047619047619047,0.0238095238095238
빠넬로,1.4927536231884058,0.0,0.1594202898550724,0.0579710144927536,0.0289855072463768,0.0144927536231884,0.0289855072463768,0.1159420289855072
산리오러버스클럽,0.0,0.0,0.0204081632653061,0.0612244897959183,0.0,0.0,0.5306122448979592,0.5306122448979592
산울림1992,0.0,0.0,0.073170731707317,0.0365853658536585,0.024390243902439,0.8292682926829268,0.0,0.2073170731707317
삼거리포차,0.0,0.0,0.0476190476190476,0.0,0.0,0.2857142857142857,0.0,0.1428571428571428
서강8경,0.1739130434782608,0.0,0.3043478260869565,0.0,0.0,0.0434782608695652,0.0434782608695652,0.2608695652173913
서교참치,0.0,0.0,0.2631578947368421,0.0,0.0,0.1052631578947368,0.0,0.0
서울이스케이프룸 홍대2호점,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0
소코아 홍대점,0.0306122448979591,0.2959183673469387,0.0612244897959183,0.0510204081632653,0.0306122448979591,0.010204081632653,0.0,0.0306122448979591
손오공마라탕,0.0,0.0,0.1372549019607843,0.0,0.0294117647058823,0.1176470588235294,0.0,0.0196078431372549
수상한베이글,0.0256410256410256,0.0,0.0256410256410256,0.0769230769230769,0.0,0.0,0.2051282051282051,0.0256410256410256
수지앤파스타,0.5348837209302325,0.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.0
스노브,0.0,0.0,0.1034482758620689,0.0344827586206896,0.0,0.0,1.6551724137931034,0.0344827586206896
스시오 홍대점,0.0616438356164383,0.863013698630137,0.2260273972602739,0.0,0.0068493150684931,0.0136986301369863,0.047945205479452,0.136986301369863
스아게K,0.0,0.0067567567567567,0.0878378378378378,0.0,0.081081081081081,0.1689189189189189,0.0067567567567567,0.0945945945945946
스케줄 합정,0.2337662337662337,0.0129870129870129,0.1298701298701298,0.0259740259740259,0.0,0.0259740259740259,0.0649350649350649,0.1298701298701298
스타벅스 홍대삼거리점,0.0,0.0,0.1304347826086956,0.0,0.0,0.0,0.1304347826086956,0.0
스탠스커피,0.0,0.0,0.088235294117647,0.0588235294117647,0.0,0.0,0.5,0.0294117647058823
스파카나폴리,1.608695652173913,0.0,0.031055900621118,0.0124223602484472,0.0062111801242236,0.062111801242236,0.0,0.0559006211180124
스페이스원,0.627906976744186,0.0930232558139534,0.0581395348837209,0.0348837209302325,0.0116279069767441,0.0,0.0116279069767441,0.1162790697674418
시루케이크,0.0,0.0,0.0253164556962025,0.0,0.0,0.0,0.5822784810126582,0.0759493670886076
식스티즈,0.4827586206896552,0.057471264367816,0.0689655172413793,0.0,0.0114942528735632,0.0,0.0344827586206896,0.057471264367816
신미경홍대닭갈비,0.003125,0.03125,0.08125,0.0125,0.59375,0.015625,0.003125,0.015625
신주양꼬치 홍대점,0.0,0.0,0.09375,0.0,0.1875,0.03125,0.0,0.03125
심양 홍대점,0.0,0.0666666666666666,0.1666666666666666,0.0,0.4333333333333333,0.0666666666666666,0.0,0.1
싸인이스케이프 홍대점,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444
썰스데이파티,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333
아마,0.0,0.0,0.1025641025641025,0.0256410256410256,0.0769230769230769,0.0256410256410256,0.0,0.0512820512820512
아오이토리,0.0638297872340425,0.101063829787234,0.0957446808510638,0.026595744680851,0.0,0.0,0.0425531914893617,0.1063829787234042
아웃닭 홍대점,0.0303030303030303,0.0909090909090909,0.0303030303030303,0.0,0.0,0.0,0.0,0.0909090909090909
앤디스커피,0.0,0.0,0.037037037037037,0.0,0.0,0.0,1.0740740740740742,0.0
앤트러사이트 합정점,0.0,0.0,0.0330578512396694,0.0661157024793388,0.0,0.0,0.3140495867768595,0.0330578512396694
앵춘,0.027027027027027,0.0,0.1351351351351351,0.0,0.027027027027027,0.5405405405405406,0.0,0.027027027027027
야키토리 나루토,0.0116959064327485,0.0058479532163742,0.3216374269005848,0.0058479532163742,0.0818713450292397,0.0760233918128654,0.0116959064327485,0.2222222222222222
어른이대공원,0.0,0.0,0.1363636363636363,0.2272727272727272,0.0,0.6818181818181818,0.0,0.1818181818181818
어리,0.0,0.0212765957446808,0.1063829787234042,0.0425531914893617,0.0,0.5106382978723404,0.0212765957446808,0.0
어메이징농카이,0.0,0.0578512396694214,0.0991735537190082,0.0495867768595041,0.0413223140495867,0.024793388429752,0.0330578512396694,0.0413223140495867
어반플랜트 합정,0.0971223021582733,0.0071942446043165,0.0971223021582733,0.0683453237410072,0.0,0.0,0.3669064748201439,0.0863309352517985
여우골 홍대서교점,0.0,0.7081081081081081,0.4378378378378378,0.0054054054054054,0.0054054054054054,0.0108108108108108,0.0,0.0756756756756756
여우골 홍대점,0.0,0.8018018018018018,0.3243243243243243,0.027027027027027,0.0,0.0,0.009009009009009,0.0
예티,0.0363636363636363,0.0,0.0363636363636363,0.0,0.0545454545454545,0.0181818181818181,0.0,0.0181818181818181
옛맛서울불고기 (2024년 5월 예정),0.0,0.0,0.0985915492957746,0.0,0.3098591549295774,0.1549295774647887,0.0,0.1549295774647887
오레노라멘 합정본점,0.0,0.5502092050209205,0.0774058577405857,0.006276150627615,0.0251046025104602,0.2405857740585774,0.002092050209205,0.1401673640167364
오리지널시카고피자 홍대본점,0.9846153846153848,0.0,0.0307692307692307,0.0,0.0,0.0307692307692307,0.0615384615384615,0.0153846153846153
옥동식 서교점,0.0,0.00390625,0.1328125,0.03515625,0.36328125,0.30078125,0.0078125,0.2421875
온달집 홍대직영점,0.0,0.0424528301886792,0.0094339622641509,0.0188679245283018,0.0,0.0518867924528301,0.0,0.0235849056603773
온블랙94,0.5416666666666666,0.0,0.2083333333333333,0.0416666666666666,0.2083333333333333,0.0,0.0,0.0416666666666666
옹다래찜닭 홍대점,0.12,0.0,0.24,0.0,0.08,0.04,0.0,0.0
와우끝집,0.0,0.0303030303030303,0.0909090909090909,0.0606060606060606,0.0,0.0606060606060606,0.0,0.0909090909090909
왔쏘 홍대점,0.0,0.0,0.25,0.0,0.8,0.05,0.0,0.05
우동카덴 합정점,0.0,1.0676691729323309,0.150375939849624,0.018796992481203,0.0075187969924812,0.0977443609022556,0.0,0.206766917293233
우와 홍대본점,0.0211267605633802,0.0422535211267605,0.0633802816901408,0.0774647887323943,0.0070422535211267,0.056338028169014,0.0,0.1690140845070422
웃사브,0.0454545454545454,0.0,0.1363636363636363,0.0454545454545454,0.0757575757575757,0.0303030303030303,0.0,0.1666666666666666
위키드찜닭,0.0833333333333333,0.0,0.0833333333333333,0.0,0.25,0.0,0.0,0.1666666666666666
육연해by육회먹은연어 홍대점,0.0,0.0,0.1578947368421052,0.0,0.0,0.0526315789473684,0.0,0.0526315789473684
윤씨밀방,0.344,0.032,0.024,0.008,0.008,0.016,0.0,0.112
은행골 홍대점,0.0,0.5681818181818182,0.1136363636363636,0.0,0.0,0.0454545454545454,0.0,0.0454545454545454
이미커피,0.0,0.0,0.2641509433962264,0.0660377358490566,0.0,0.0094339622641509,1.2924528301886793,0.1226415094339622
이빠네마그릴 홍대점,0.2758620689655172,0.0344827586206896,0.0689655172413793,0.0,0.4827586206896552,0.0,0.0,0.0689655172413793
이치류 홍대본점,0.0,0.0,0.1911764705882352,0.0147058823529411,1.2352941176470589,0.0441176470588235,0.0,0.1911764705882352
일편등심,0.0,0.0,0.1612903225806451,0.032258064516129,0.6129032258064516,0.0,0.0,0.1290322580645161
자세,0.0344827586206896,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0,0.9310344827586208,0.1034482758620689,0.0
재미난조각가 홍대점,0.0,0.0,0.2916666666666667,0.0416666666666666,0.0,0.0,0.125,0.1666666666666666
정돈,0.0184049079754601,0.1656441717791411,0.0490797546012269,0.0306748466257668,0.2208588957055214,0.0122699386503067,0.0,0.0674846625766871
제비다방,0.0,0.0,0.0461538461538461,0.0615384615384615,0.0,0.1538461538461538,0.2,0.0461538461538461
제순식당 홍대점,0.0,0.0,0.1212121212121212,0.0,0.0303030303030303,0.0606060606060606,0.0,0.0303030303030303
제임스시카고피자 홍대본점,1.0353697749196142,0.0032154340836012,0.0643086816720257,0.0128617363344051,0.0,0.0482315112540192,0.0192926045016077,0.0578778135048231
조선화로구이,0.0,0.0,0.0344827586206896,0.0,0.3448275862068966,0.0344827586206896,0.0,0.0344827586206896
중화복춘,0.0181818181818181,0.0545454545454545,0.1636363636363636,0.0242424242424242,0.0121212121212121,0.0727272727272727,0.0181818181818181,0.1696969696969697
지로우라멘,0.0,0.6612244897959184,0.1061224489795918,0.0204081632653061,0.0530612244897959,0.1959183673469387,0.0,0.0857142857142857
진진,0.0,0.0208333333333333,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0,0.125
집사의하루 홍대점,0.0,0.0,0.2131147540983606,0.0,0.0,0.0,0.3278688524590163,0.0737704918032786
짬뽕지존 홍대점,0.0,0.0,0.2413793103448276,0.0,0.0,0.0689655172413793,0.0,0.1034482758620689
참새방앗간,0.0,0.0,0.1739130434782608,0.0,0.0,0.217391304347826,0.0,0.2608695652173913
철길왕갈비살,0.0,0.0,0.1333333333333333,0.0,0.4888888888888889,0.0666666666666666,0.0,0.0888888888888888
철인7호치킨 홍대점,0.003125,0.00625,0.009375,0.0020833333333333,0.0010416666666666,0.0041666666666666,0.0010416666666666,0.0625
츠케루,0.0011428571428571,0.5405714285714286,0.0457142857142857,0.0057142857142857,0.0068571428571428,0.0582857142857142,0.0022857142857142,0.0685714285714285
치치 서교점,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.2941176470588235,0.0,0.0588235294117647
카미야,0.032258064516129,0.3096774193548387,0.032258064516129,0.0064516129032258,0.0903225806451612,0.0064516129032258,0.0,0.2451612903225806
카와카츠 본점,0.0863787375415282,0.3023255813953488,0.0963455149501661,0.0033222591362126,0.2325581395348837,0.0066445182724252,0.0,0.1627906976744186
카츠미 홍대본점,0.0769230769230769,0.6153846153846154,0.0384615384615384,0.0,0.2692307692307692,0.0,0.0,0.1153846153846153
카페 지금여기,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
카페공명 연남점,0.0,0.0,0.0689655172413793,0.0114942528735632,0.0,0.0057471264367816,0.7241379310344828,0.057471264367816
카페공명 홍대점,0.0,0.0,0.0491803278688524,0.2131147540983606,0.0,0.0163934426229508,1.0327868852459017,0.0983606557377049
카페장쌤,0.0,0.0,0.2362204724409448,0.0157480314960629,0.0,0.0,1.0236220472440944,0.1732283464566929
칸다소바 홍대점,0.0,0.704225352112676,0.0798122065727699,0.0046948356807511,0.0234741784037558,0.0422535211267605,0.0046948356807511,0.0657276995305164
커피랩,0.0,0.0,0.0833333333333333,0.0694444444444444,0.0,0.0277777777777777,0.3611111111111111,0.1111111111111111
코노미 홍대점,0.0,0.0,0.2894736842105263,0.0263157894736842,0.0,0.0789473684210526,0.0263157894736842,0.1578947368421052
코키펍 홍대점,0.0,0.0833333333333333,0.0,0.0,0.0,0.4166666666666667,0.0,0.0833333333333333
콜린,0.0,0.0,0.0253164556962025,0.1265822784810126,0.0,0.0126582278481012,0.7974683544303798,0.0379746835443038
큐브이스케이프 홍대점,0.0,0.0,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0357142857142857,0.3214285714285714
클럽에반스,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0869565217391304,0.0869565217391304
키쉬미뇽,0.0,0.0,0.0847457627118644,0.0508474576271186,0.0,0.0,0.288135593220339,0.0508474576271186
키즈나,0.0384615384615384,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0769230769230769
탐탐오향족발,0.0,0.0,0.0555555555555555,0.0,0.1388888888888889,0.0555555555555555,0.0,0.0833333333333333
테이스티버거,0.8348623853211009,0.0642201834862385,0.1834862385321101,0.036697247706422,0.018348623853211,0.018348623853211,0.018348623853211,0.0825688073394495
토라비,0.0,0.0,0.1166666666666666,0.05,0.0,0.0,0.7,0.1666666666666666
토모토카레 홍대점,0.0149253731343283,0.1343283582089552,0.1194029850746268,0.0149253731343283,0.0149253731343283,0.0746268656716417,0.0,0.0746268656716417
티엔미미 홍대점,0.0,0.0,0.1379310344827586,0.1034482758620689,0.2413793103448276,0.0689655172413793,0.0,0.1379310344827586
퍼셉션 (Perception),0.0,0.0,0.0983606557377049,0.0,0.0,0.0327868852459016,0.6557377049180327,0.0491803278688524
페더,0.0181818181818181,0.0,0.2909090909090909,0.0181818181818181,0.0,0.509090909090909,0.0545454545454545,0.0727272727272727
퐁포네뜨 홍대점,0.0,0.0,0.0,0.0,0.0,0.0,2.020408163265306,0.0204081632653061
프리모바치오바치 홍대본점,0.45,0.0,0.13,0.0,0.01,0.01,0.06,0.04
플레이트946,0.9642857142857144,0.0,0.1071428571428571,0.0,0.1071428571428571,0.0,0.1071428571428571,0.0
피오니 홍대점,0.0,0.0,0.0187793427230046,0.0046948356807511,0.0,0.0,2.004694835680751,0.1596244131455399
피자네버슬립스 합정상수점,0.8235294117647058,0.0404411764705882,0.1029411764705882,0.0441176470588235,0.0036764705882352,0.150735294117647,0.0330882352941176,0.088235294117647
하이디라오 홍대지점,0.0150375939849624,0.0,0.3157894736842105,0.0,0.0,0.0225563909774436,0.0300751879699248,0.2105263157894736
하카타분코,0.0,0.8165137614678899,0.1834862385321101,0.0137614678899082,0.055045871559633,0.1880733944954128,0.0,0.1192660550458715
하하&김종국의 401정육식당 홍대본점,0.0,0.0,0.1785714285714285,0.0,0.8214285714285714,0.0357142857142857,0.0,0.0714285714285714
허밍벨라,0.0,0.0,0.081081081081081,0.2162162162162162,0.0,0.027027027027027,0.7567567567567568,0.0
혼가츠,0.0259740259740259,0.1558441558441558,0.1298701298701298,0.0389610389610389,0.0779220779220779,0.0,0.0649350649350649,0.0649350649350649
홍대 조선시대,0.0,0.0086393088552915,0.0410367170626349,0.0669546436285097,0.0107991360691144,0.5896328293736501,0.101511879049676,0.060475161987041
홍대반지카페 본점,0.0,0.0,0.1904761904761904,0.0,0.0,0.0,0.0,0.3333333333333333
홍대삭 상수본점,0.0140845070422535,1.0422535211267605,0.0704225352112676,0.0140845070422535,0.0,0.0985915492957746,0.0,0.0422535211267605
홍대씨부엉,0.0,0.1666666666666666,0.1,0.0333333333333333,0.0333333333333333,0.0666666666666666,0.0,0.1
홍대인파스타,0.6818181818181818,0.0,0.0909090909090909,0.0,0.0681818181818181,0.0,0.0,0.1136363636363636
홍대조폭떡볶이 홍대2호점,0.0,0.2394366197183098,0.1830985915492957,0.0140845070422535,0.0,0.0845070422535211,0.0,0.0985915492957746
홍대차칸곱창,0.0,0.0625,0.0,0.0,0.4375,0.125,0.0,0.125
홍스쭈꾸미 홍대본점,0.0112359550561797,0.0,0.2359550561797752,0.0224719101123595,0.0,0.0561797752808988,0.0,0.0337078651685393
홍익닭한마리 홍대본점,0.0,0.0,0.0625,0.0,0.0,0.46875,0.0,0.0
황곱 홍대점,0.0,0.0,0.110062893081761,0.0069182389937106,0.5025157232704403,0.0861635220125786,0.00062893081761,0.0540880503144654
효봉포차,0.0,0.0666666666666666,0.0,0.0,0.0,0.2,0.0,0.0
후라토식당 상수직영점,0.0188679245283018,0.5094339622641509,0.0943396226415094,0.0377358490566037,0.1509433962264151,0.0,0.0,0.1132075471698113
훠궈나라 홍대점,0.0,0.0,0.1923076923076923,0.0,0.1025641025641025,0.0128205128205128,0.0128205128205128,0.0641025641025641
