,도착지_시군구명,인구 수,일별평균유입인구
0,광명시,292390.85000000003,9431.962903225807
1,부천시,763887.25,24641.524193548386
2,수원시,1573195.06,50748.22774193549
3,시흥시,525449.45,16949.982258064516
4,안산시,659174.26,21263.685806451613
5,안양시,691297.61,22299.922903225804
6,용인시,1464258.84,47234.156129032264
7,포천시,182241.77,5878.766774193548
8,하남시,369754.32,11927.55870967742
9,화성시,1366159.27,44069.65387096774
