,출발지_시군구명,인구 수,일별평균유출인구
0,광명시,297671.52999999997,9602.307419354838
1,부천시,911518.15,29403.81129032258
2,수원시,1399743.36,45153.01161290323
3,시흥시,430288.93,13880.28806451613
4,안산시,687455.55,22175.98548387097
5,안양시,585539.22,18888.36193548387
6,용인시,1276109.7,41164.829032258065
7,포천시,209838.01,6768.96806451613
8,하남시,436345.01999999996,14075.645806451612
9,화성시,1286840.88,41510.99612903225
