기준년월,시군명,총인구수,신규가입자수,월별충전액,월별사용액,가맹점수,생활인구수,인당사용액(생활),인당사용액(인구),20~29세,30~39세,40~49세,50~59세,60세 이상
2023-09,평택시,588380,3627.0,20494,16656,20599,627320,26551,28308,77408,91845,100868,96759,117008
2023-10,평택시,589407,3253.0,15078,15983,20599,627320,25478,27117,77330,92140,100932,97046,117433
2023-11,평택시,590185,2442.0,14060,14993,20599,627320,23900,25403,77117,92336,100969,97587,117586
2023-01,포천시,146374,976.0,2739,3018,6566,171992,17547,20618,17039,14305,18560,28452,49492
2023-02,포천시,145927,1073.0,3094,2912,6566,171992,16931,19955,16923,14137,18477,28398,49675
2023-03,포천시,145614,876.0,2920,3273,6566,171992,19029,22477,16801,14075,18350,28315,49935
2023-04,포천시,145373,1044.0,3305,3123,6566,171992,18157,21482,16714,14061,18212,28184,50200
2023-05,포천시,144922,877.0,4489,2418,6566,171992,14058,16684,16607,13976,18022,28163,50281
2023-06,포천시,144397,720.0,2150,2135,6566,171992,12413,14785,16460,13880,17896,28043,50410
2023-07,포천시,144158,621.0,2252,1980,6566,171992,11512,13734,16390,13843,17766,28018,50579
2023-08,포천시,143974,723.0,4172,1802,6566,171992,10477,12516,16264,13837,17711,27964,50709
2023-09,포천시,143880,972.0,2832,1978,6566,171992,11500,13747,16217,13830,17617,27944,50854
2023-10,포천시,143690,857.0,2761,2337,6566,171992,13587,16264,16171,13813,17549,27902,50947
2023-11,포천시,143510,781.0,2611,2322,6566,171992,13500,16180,16120,13797,17416,27924,50987
2023-01,하남시,326496,4396.0,14806,12889,9206,304452,42335,39476,36798,52262,59994,47086,67856
2023-02,하남시,326704,2752.0,10200,19231,9206,304452,63165,58863,36618,52010,60229,47246,68176
2023-03,하남시,326768,2354.0,10882,11829,9206,304452,38853,36199,36464,51949,60308,47265,68439
2023-04,하남시,326913,2359.0,10580,11139,9206,304452,36587,34073,36388,51937,60346,47215,68734
2023-05,하남시,327255,1832.0,10844,11053,9206,304452,36304,33774,36340,51933,60389,47358,68996
2023-06,하남시,327589,1594.0,9574,10118,9206,304452,33233,30886,36266,51890,60487,47472,69238
2023-07,하남시,329559,2107.0,10231,9659,9206,304452,31725,29308,4664,5168,5564,6907,9201
2023-08,하남시,329559,2409.0,9442,8931,9206,304452,29334,27099,4639,5165,5540,6906,9251
2023-09,하남시,329559,3388.0,12991,11833,9206,304452,38866,35905,4623,5159,5504,6905,9302
2023-10,하남시,329559,2456.0,12682,11979,9206,304452,39346,36348,36075,51745,61113,47894,70203
2023-11,하남시,329822,1785.0,14647,13667,9206,304452,44890,41437,36032,51677,61166,48091,70333
2023-12,하남시,329861,1664.0,14814,13838,9206,304452,45452,41951,35977,51573,61110,48250,70493
2023-01,화성시,914500,7038.0,29534,35112,27663,919545,38184,38394,109773,150480,179194,130278,141374
2023-02,화성시,918865,7829.0,30162,33325,27663,919545,36240,36267,109856,150834,180450,131143,142350
2023-03,화성시,922231,9111.0,35906,36982,27663,919545,40217,40100,110109,151668,180807,131884,143344
2023-04,화성시,925186,8440.0,35557,35525,27663,919545,38633,38397,110518,152265,180984,132479,144507
2023-05,화성시,928550,6717.0,35058,37413,27663,919545,40686,40291,110625,153118,181286,133438,145333
2023-06,화성시,930603,7821.0,36797,36269,27663,919545,39442,38973,110731,153271,181744,133992,146057
2023-07,화성시,932626,8026.0,36869,36480,27663,919545,39671,39115,110757,153676,181999,134524,146856
2023-08,화성시,934287,7804.0,34116,35008,27663,919545,38071,37470,110802,153985,182181,135008,147582
2023-09,화성시,937189,7792.0,40559,36188,27663,919545,39354,38613,110749,154707,182671,135630,148406
2023-10,화성시,939302,7667.0,37117,38199,27663,919545,41541,40667,110879,155009,182965,136303,149242
2023-11,화성시,941489,6808.0,34953,32898,27663,919545,35776,34942,110779,155213,183260,137311,149846
