기준년월,시군명,총인구수
2023-04,성남시,923344
2023-04,수원시,1191821
2023-04,시흥시,518072
2023-04,안산시,637480
2023-04,안성시,188637
2023-04,안양시,546781
2023-04,양주시,252218
2023-04,양평군,122767
2023-04,여주시,113375
2023-04,연천군,41744
2023-04,오산시,229121
2023-04,용인시,1074744
2023-04,의왕시,158882
2023-04,의정부시,462374
2023-04,이천시,222348
2023-04,파주시,496870
2023-04,평택시,584126
2023-04,포천시,145373
2023-04,하남시,326913
2023-04,화성시,925186
2023-03,가평군,61969
2023-03,고양시,1077909
2023-03,과천시,78654
2023-03,광명시,285198
2023-03,광주시,390949
2023-03,구리시,188709
2023-03,군포시,265252
2023-03,김포시,484514
2023-03,남양주시,735649
2023-03,동두천시,90582
2023-03,부천시,787813
2023-03,성남시,923416
2023-03,수원시,1192225
2023-03,시흥시,517336
2023-03,안산시,638264
2023-03,안성시,188574
2023-03,안양시,547320
2023-03,양주시,250698
2023-03,양평군,122661
2023-03,여주시,113209
2023-03,연천군,41762
2023-03,오산시,229247
2023-03,용인시,1073513
2023-03,의왕시,159246
2023-03,의정부시,462637
2023-03,이천시,222148
2023-03,파주시,496450
2023-03,평택시,583029
2023-03,포천시,145614
2023-03,하남시,326768
2023-03,화성시,922231
2023-02,가평군,62069
2023-02,고양시,1078087
2023-02,과천시,78526
2023-02,광명시,286584
2023-02,광주시,390950
2023-02,구리시,188436
2023-02,군포시,265648
2023-02,김포시,484536
2023-02,남양주시,736484
2023-02,동두천시,90883
2023-02,부천시,787673
2023-02,성남시,924051
2023-02,수원시,1192686
2023-02,시흥시,515058
2023-02,안산시,639355
2023-02,안성시,188634
2023-02,안양시,547583
2023-02,양주시,248568
2023-02,양평군,122478
2023-02,여주시,113243
2023-02,연천군,41830
2023-02,오산시,229415
2023-02,용인시,1074133
2023-02,의왕시,159701
2023-02,의정부시,463053
2023-02,이천시,222306
2023-02,파주시,495810
2023-02,평택시,581524
2023-02,포천시,145927
2023-02,하남시,326704
2023-02,화성시,918865
2023-01,가평군,62114
2023-01,고양시,1077599
2023-01,과천시,78341
2023-01,광명시,287603
2023-01,광주시,391225
2023-01,구리시,188550
2023-01,군포시,265999
2023-01,김포시,484725
2023-01,남양주시,737171
2023-01,동두천시,91255
2023-01,부천시,788935
2023-01,성남시,924087
2023-01,수원시,1191620
2023-01,시흥시,513468
2023-01,안산시,640679
2023-01,안성시,188643
2023-01,안양시,547917
2023-01,양주시,245451
2023-01,양평군,122414
2023-01,여주시,113259
2023-01,연천군,41950
2023-01,오산시,229704
2023-01,용인시,1074650
2023-01,의왕시,160067
2023-01,의정부시,463353
2023-01,이천시,222451
2023-01,파주시,495480
2023-01,평택시,580011
2023-01,포천시,146374
2023-01,하남시,326496
2023-01,화성시,914500
