,기준년월,시군명,20~29세,30~39세,40~49세,50~59세,60세 이상
120,2023-04,평택시,77766,90440,100678,95385,114965
121,2023-04,포천시,16714,14061,18212,28184,50200
122,2023-04,하남시,36388,51937,60346,47215,68734
123,2023-04,화성시,110518,152265,180984,132479,144507
124,2023-05,가평군,5754,5338,7472,10735,25372
125,2023-05,고양시,137662,143790,171234,198014,254438
126,2023-05,과천시,9607,11750,12196,13121,17515
127,2023-05,광명시,33867,37354,47202,48219,68122
128,2023-05,광주시,42473,53273,68678,67020,93700
129,2023-05,구리시,23851,24262,30255,34389,46397
130,2023-05,군포시,34425,36688,40390,46928,65235
131,2023-05,김포시,49797,68525,93913,71460,101322
132,2023-05,남양주시,82884,86667,130387,125760,172791
133,2023-05,동두천시,10014,9079,12739,16162,29166
134,2023-05,부천시,102153,108589,120552,140013,203409
135,2023-05,성남시,119203,134386,149208,154162,219926
136,2023-05,수원시,177950,181043,196614,199455,237717
137,2023-05,시흥시,65771,76363,93517,91270,94800
138,2023-05,안산시,97159,83257,96862,125639,139275
139,2023-05,안성시,22439,21791,29457,32290,53733
140,2023-05,안양시,69996,78650,83549,94666,134015
141,2023-05,양주시,28613,31575,42124,42850,63486
142,2023-05,양평군,9879,10319,16001,21088,49390
143,2023-05,여주시,11411,11113,15606,20036,39697
144,2023-05,연천군,4680,3971,4392,6648,17078
145,2023-05,오산시,29423,35285,44471,35422,40285
146,2023-05,용인시,133760,134027,192477,179168,229766
147,2023-05,의왕시,20253,21958,22977,28139,39840
148,2023-05,의정부시,60860,59884,71402,81562,117389
149,2023-05,이천시,29570,30298,34739,35944,53619
150,2023-05,파주시,57884,69407,84604,81164,110836
151,2023-05,평택시,77801,90604,100672,95674,115399
152,2023-05,포천시,16607,13976,18022,28163,50281
153,2023-05,하남시,36340,51933,60389,47358,68996
154,2023-05,화성시,110625,153118,181286,133438,145333
155,2023-06,가평군,5723,5324,7450,10729,25400
156,2023-06,고양시,137177,143764,170927,198097,255340
157,2023-06,과천시,9651,11780,12301,13167,17590
158,2023-06,광명시,33701,37104,47007,48131,68074
159,2023-06,광주시,42337,53277,68700,67206,94082
160,2023-06,구리시,23736,24256,30161,34421,46510
161,2023-06,군포시,34231,36654,40231,46944,65383
162,2023-06,김포시,49866,68394,94015,71706,101789
163,2023-06,남양주시,82764,86407,130000,125997,173156
164,2023-06,동두천시,9928,8998,12640,16092,29196
165,2023-06,부천시,101713,108498,120322,139981,203935
166,2023-06,성남시,118783,134031,148911,154000,220252
167,2023-06,수원시,177540,181505,196318,199663,238634
168,2023-06,시흥시,65601,76259,93555,91430,95218
169,2023-06,안산시,96776,83185,96603,125605,139806
170,2023-06,안성시,22391,21733,29471,32295,53889
171,2023-06,안양시,69803,78667,83449,94621,134260
172,2023-06,양주시,28885,32295,42690,43383,64088
173,2023-06,양평군,9861,10314,15976,21072,49523
174,2023-06,여주시,11408,11163,15623,20099,39812
175,2023-06,연천군,4682,3963,4403,6643,17134
176,2023-06,오산시,29330,35246,44457,35468,40446
177,2023-06,용인시,133707,134154,192237,179659,230481
178,2023-06,의왕시,20147,21872,22911,28040,39944
179,2023-06,의정부시,60824,60322,71592,81743,117912
180,2023-06,이천시,29484,30393,34726,35984,53758
181,2023-06,파주시,57653,69283,84627,81292,111189
182,2023-06,평택시,77849,90906,100801,95986,115761
183,2023-06,포천시,16460,13880,17896,28043,50410
184,2023-06,하남시,36266,51890,60487,47472,69238
185,2023-06,화성시,110731,153271,181744,133992,146057
186,2023-07,가평군,5738,5298,7424,10736,25454
187,2023-07,고양시,136635,143651,170580,198047,256315
188,2023-07,과천시,9714,12062,12480,13209,17670
189,2023-07,광명시,33552,36852,46788,48119,68114
190,2023-07,광주시,42205,53214,68711,67338,94471
191,2023-07,구리시,23639,24210,30118,34421,46678
192,2023-07,군포시,1105,3048,2306,1071,619
193,2023-07,김포시,49797,68252,94102,71810,102250
194,2023-07,남양주시,82384,86079,129643,126129,173671
195,2023-07,동두천시,9848,8923,12565,16053,29236
196,2023-07,부천시,101201,108293,120153,139842,204514
197,2023-07,성남시,118204,133597,148554,153829,220623
198,2023-07,수원시,177162,182024,196162,199884,239602
199,2023-07,시흥시,65311,76102,93523,91498,95795
200,2023-07,안산시,96137,83237,96254,125564,140237
201,2023-07,안성시,22364,21714,29399,32390,54030
202,2023-07,안양시,69525,78660,83237,94578,134647
203,2023-07,양주시,29008,32704,43120,43785,64595
204,2023-07,양평군,9918,10298,15938,21100,49686
205,2023-07,여주시,11359,11178,15580,20130,39975
206,2023-07,연천군,4672,3946,4383,6636,17174
207,2023-07,오산시,29287,35219,44478,35590,40605
208,2023-07,용인시,133535,134262,191876,180185,231271
209,2023-07,의왕시,2082,3461,3871,2906,3881
210,2023-07,의정부시,60678,60543,71691,81862,118358
211,2023-07,이천시,29495,30441,34770,36028,53982
212,2023-07,파주시,57438,69162,84482,81497,111513
213,2023-07,평택시,77656,91331,100833,96283,116266
214,2023-07,포천시,16390,13843,17766,28018,50579
215,2023-07,하남시,4664,5168,5564,6907,9201
216,2023-07,화성시,110757,153676,181999,134524,146856
217,2023-08,가평군,5689,5315,7410,10715,25489
218,2023-08,고양시,136030,143763,170201,197964,257274
219,2023-08,과천시,9717,12166,12578,13205,17732
220,2023-08,광명시,33427,36721,46591,48097,68259
221,2023-08,광주시,42073,53107,68685,67471,94882
222,2023-08,구리시,23524,24136,30056,34403,46824
223,2023-08,군포시,1113,3082,2343,1112,627
224,2023-08,김포시,49624,67966,94161,71963,102685
225,2023-08,남양주시,82116,85850,129347,126210,174148
226,2023-08,동두천시,9763,8911,12508,16036,29338
227,2023-08,부천시,100650,108113,119813,139711,205195
228,2023-08,성남시,117642,133157,148162,153663,221076
229,2023-08,수원시,177169,182781,196181,200291,240685
230,2023-08,시흥시,65014,76042,93417,91607,96249
231,2023-08,안산시,95611,83175,95904,125478,140825
232,2023-08,안성시,22359,21614,29391,32449,54172
233,2023-08,안양시,69220,78677,83114,94471,135023
234,2023-08,양주시,29176,32996,43341,44085,64981
235,2023-08,양평군,9932,10353,15929,21193,49898
236,2023-08,여주시,11295,11210,15537,20197,40098
237,2023-08,연천군,4627,3945,4369,6617,17188
238,2023-08,오산시,29209,35300,44492,35758,40743
239,2023-08,용인시,133534,134010,191517,180625,232195
240,2023-08,의왕시,2093,3419,3883,2904,3897
241,2023-08,의정부시,60490,60482,71594,81893,118855
242,2023-08,이천시,29435,30449,34674,36044,54116
243,2023-08,파주시,57113,69284,84384,81669,111919
244,2023-08,평택시,77444,91587,100870,96486,116611
245,2023-08,포천시,16264,13837,17711,27964,50709
246,2023-08,하남시,4639,5165,5540,6906,9251
247,2023-08,화성시,110802,153985,182181,135008,147582
248,2023-09,가평군,5681,5383,7438,10736,25587
