,연도,지역명,노령화지수,인구성장률(%)
0,2020,가평군,261.5357826919728,-
1,2020,경기도,95.51491401165315,-
2,2020,고양시,108.27618967353412,-
3,2020,과천시,106.93757519048255,-
4,2020,광명시,105.80127961965455,-
5,2020,광주시,94.46679302208642,-
6,2020,구리시,107.92841013632182,-
7,2020,군포시,104.90495188922789,-
8,2020,김포시,71.0394349926486,-
9,2020,남양주시,93.90635457993423,-
10,2020,동두천시,179.53700260319823,-
11,2020,부천시,118.92329660493168,-
12,2020,성남시,117.18765825407202,-
13,2020,수원시,82.67882587631804,-
14,2020,시흥시,63.499501359308184,-
15,2020,안산시,92.87239823579219,-
16,2020,안성시,136.33786128390673,-
17,2020,안양시,113.75541444784277,-
18,2020,양주시,116.26752618855762,-
19,2020,양평군,243.51511000770483,-
20,2020,여주시,197.4943434174139,-
21,2020,연천군,253.71725277318856,-
22,2020,오산시,58.78641287201598,-
23,2020,용인시,87.10646172250294,-
24,2020,의왕시,108.48110244199007,-
25,2020,의정부시,125.23374909381563,-
26,2020,이천시,99.87629141729914,-
27,2020,파주시,91.31101833684924,-
28,2020,평택시,83.04953869503282,-
29,2020,포천시,192.13979831468436,-
30,2020,하남시,82.45122703754687,-
31,2020,화성시,45.92099394711692,-
32,2021,가평군,288.9523108083226,-0.1341004298472298
33,2021,경기도,103.20993623983716,1.1765263251863949
34,2021,고양시,118.18367443102392,0.2903009051882124
35,2021,과천시,104.13948256467944,13.237048454192276
36,2021,광명시,114.98405081926988,-5.530849905408058
37,2021,광주시,104.4679807786604,1.8058882942013923
38,2021,구리시,119.85577135778436,-2.094180114928585
39,2021,군포시,119.665074776926,-2.005697586731689
40,2021,김포시,73.05429586959185,7.160130205810739
41,2021,남양주시,101.52283272283272,2.282065496641281
42,2021,동두천시,195.70761144636947,-0.2600672606742223
43,2021,부천시,134.12797850846005,-1.888923294076472
44,2021,성남시,126.52308739553,-0.7806360842813146
45,2021,수원시,91.48181715941492,-0.7825834964376921
46,2021,시흥시,67.5625891814762,5.374265876283826
47,2021,안산시,103.01729760755563,-0.0441313338931918
48,2021,안성시,148.46293730516106,1.8824316189976384
49,2021,안양시,124.45755553406195,-1.4654175184354334
50,2021,양주시,120.92054112890686,3.907386357928341
51,2021,양평군,259.90363104457066,2.1092136914877084
52,2021,여주시,214.46632837361315,0.901632113593524
53,2021,연천군,276.63110890597864,-0.9539249404495076
54,2021,오산시,65.60457737885402,0.9445430829198856
55,2021,용인시,94.4969905417025,0.3374132656521783
56,2021,의왕시,118.3980302792184,-0.8655887309632235
57,2021,의정부시,135.35859397146365,1.562483085964515
58,2021,이천시,108.79931389365352,1.1527772167472037
59,2021,파주시,96.52687433307509,3.5127269820088616
60,2021,평택시,85.75603004126829,5.000125718088773
61,2021,포천시,212.0233547177972,-0.0182689249245809
62,2021,하남시,86.69399090685121,7.964394089868539
63,2021,화성시,49.90942602703285,3.7221895388784425
64,2022,가평군,321.65754495699764,-0.0762359373339023
65,2022,경기도,113.14364241284537,0.5077076106687771
66,2022,고양시,130.5260315668033,-0.3369650864953341
67,2022,과천시,98.04287045666356,13.238252420988452
68,2022,광명시,127.28004831890478,-1.9631911667929531
69,2022,광주시,115.56781701444623,1.2180567918867455
70,2022,구리시,133.9243610298972,-2.175792052963048
71,2022,군포시,136.07807565678962,-1.141387709540891
72,2022,김포시,81.08870559659952,0.2057863093697722
73,2022,남양주시,111.47175545048331,1.5843980521856118
74,2022,동두천시,212.3826051449571,-0.4778503761640676
75,2022,부천시,151.695604343043,-1.5939753234414495
76,2022,성남시,138.0711702023658,-0.6591494947912054
77,2022,수원시,101.01484022983752,-0.098338061595368
78,2022,시흥시,75.19398384353741,0.3542466986883402
79,2022,안산시,116.6701080597426,-1.0291556393460597
80,2022,안성시,162.03179735920236,0.3741115585000124
81,2022,안양시,136.57138108692038,-0.1956860753425902
82,2022,양주시,132.8047253699721,0.663777012794278
83,2022,양평군,282.67688783152704,1.9093003120683096
84,2022,여주시,235.51868700383557,0.3688589670796185
85,2022,연천군,301.0880829015544,-0.8307942679866219
86,2022,오산시,74.08948418352807,-0.2810574245174531
87,2022,용인시,104.19746106107723,-0.1711425326500153
88,2022,의왕시,130.59583944381075,-0.7008287287675169
89,2022,의정부시,147.9106628242075,0.5325167607221548
90,2022,이천시,119.10385672988792,1.2042349922711528
91,2022,파주시,103.68928628920142,3.2086141666778865
92,2022,평택시,90.05168775038229,3.871892336202677
93,2022,포천시,235.50157918483984,0.2705425080381167
94,2022,하남시,88.61581508007768,5.704519982782525
95,2022,화성시,54.688589616455005,2.715385246019347
96,2023,가평군,355.80921320831635,0.927445299908905
97,2023,경기도,125.2588763816268,0.8286798926492301
98,2023,고양시,145.66574855011717,0.5015492487084506
99,2023,과천시,98.11134020618556,9.69775268898677
100,2023,광명시,143.4556117037869,-2.677341466945661
101,2023,광주시,128.93575080593828,1.8824724472949013
102,2023,구리시,150.54222311477056,-1.1174091575795893
103,2023,군포시,156.59614412592967,-0.7194302535284254
104,2023,김포시,89.67988100627305,1.4772653029427265
105,2023,남양주시,123.21008455160936,1.8630198747358653
106,2023,동두천시,234.87268018990076,-0.3964294870351146
107,2023,부천시,173.06596117224544,-1.2820608683631132
108,2023,성남시,151.563486085381,-0.4372825668313715
109,2023,수원시,113.29688497012587,-0.0930284053112806
110,2023,시흥시,84.3346587504766,0.9840823051165988
111,2023,안산시,134.8852323417329,-1.2779699504261388
112,2023,안성시,180.69332579718332,0.5048405260182499
113,2023,안양시,152.06321487819784,-0.6823297064038268
