출발지코드,도착지코드,종합 유입인구
가평군,가평군,57201.137500000004
가평군,고양시,211.4483333333333
가평군,과천시,15.983333333333334
가평군,광명시,34.63333333333333
가평군,광주시,100.25083333333333
가평군,구리시,344.63916666666665
가평군,군포시,35.9225
가평군,김포시,66.40083333333332
가평군,남양주시,2609.0116666666668
가평군,동두천시,34.218333333333334
가평군,부천시,119.95
가평군,성남시,212.26333333333332
가평군,수원시,150.22833333333332
가평군,시흥시,62.3025
가평군,안산시,79.35249999999999
가평군,안성시,30.6575
가평군,안양시,86.97249999999998
가평군,양주시,110.97833333333334
가평군,양평군,314.0558333333333
가평군,여주시,71.46249999999999
가평군,연천군,27.264166666666668
가평군,오산시,28.27416666666667
가평군,용인시,193.61
가평군,의왕시,19.43583333333333
가평군,의정부시,244.19416666666666
가평군,이천시,71.44500000000001
가평군,파주시,82.23666666666666
가평군,평택시,59.581666666666656
가평군,포천시,645.8316666666666
가평군,하남시,267.03833333333336
가평군,화성시,110.08666666666666
경기도외,가평군,31846.341666666664
경기도외,고양시,157401.82499999998
경기도외,과천시,19921.503333333334
경기도외,광명시,67600.42083333334
경기도외,광주시,39951.089166666665
경기도외,구리시,33919.260833333334
경기도외,군포시,20235.5575
경기도외,김포시,104262.72583333333
경기도외,남양주시,94131.83333333333
경기도외,동두천시,6722.335
경기도외,부천시,159693.52083333334
경기도외,성남시,130396.92083333334
경기도외,수원시,79021.12416666666
경기도외,시흥시,74648.7325
경기도외,안산시,57413.48
경기도외,안성시,25686.384166666667
경기도외,안양시,61144.81416666667
경기도외,양주시,31136.353333333333
경기도외,양평군,30617.076666666664
경기도외,여주시,24595.98166666667
경기도외,연천군,7051.010833333334
경기도외,오산시,12062.789166666667
경기도외,용인시,91125.04416666667
경기도외,의왕시,15424.770833333334
경기도외,의정부시,51493.049166666664
경기도외,이천시,36605.70583333333
경기도외,파주시,59632.63333333333
경기도외,평택시,50203.74416666667
경기도외,포천시,35719.2975
경기도외,하남시,75689.77416666667
경기도외,화성시,78835.64166666666
고양시,가평군,1512.9016666666666
고양시,고양시,976991.8916666666
고양시,과천시,550.39
고양시,광명시,1203.6675
고양시,광주시,1154.8983333333333
고양시,구리시,747.8766666666666
고양시,군포시,622.1141666666667
고양시,김포시,11607.046666666667
고양시,남양주시,3011.8549999999996
고양시,동두천시,456.59083333333336
고양시,부천시,5021.368333333333
고양시,성남시,3402.1516666666666
고양시,수원시,2284.0308333333332
고양시,시흥시,1842.0383333333332
고양시,안산시,1810.485
고양시,안성시,588.7741666666666
고양시,안양시,1812.840833333333
고양시,양주시,4425.176666666667
고양시,양평군,1095.1116666666667
고양시,여주시,611.5541666666667
고양시,연천군,1181.485
고양시,오산시,330.8591666666667
고양시,용인시,2758.6783333333333
고양시,의왕시,442.7933333333333
고양시,의정부시,2878.56
고양시,이천시,794.3316666666666
고양시,파주시,50322.823333333334
고양시,평택시,990.8291666666665
고양시,포천시,2081.2033333333334
고양시,하남시,1162.6383333333333
고양시,화성시,2129.14
과천시,가평군,91.425
과천시,고양시,242.50250000000003
과천시,과천시,62475.192500000005
과천시,광명시,247.09583333333333
과천시,광주시,192.09333333333333
과천시,구리시,33.29083333333333
과천시,군포시,709.1816666666667
과천시,김포시,99.26916666666666
과천시,남양주시,131.6825
과천시,동두천시,11.075000000000001
과천시,부천시,169.85833333333332
과천시,성남시,1161.7466666666667
과천시,수원시,1009.2725
과천시,시흥시,317.135
과천시,안산시,646.0566666666667
과천시,안성시,89.25916666666666
과천시,안양시,5215.089166666667
과천시,양주시,38.134166666666665
과천시,양평군,110.4975
과천시,여주시,100.855
과천시,연천군,19.841666666666665
과천시,오산시,63.240833333333335
과천시,용인시,679.8075
과천시,의왕시,1086.5391666666667
과천시,의정부시,46.71166666666667
과천시,이천시,186.74916666666664
과천시,파주시,103.8275
과천시,평택시,162.74583333333334
과천시,포천시,60.42166666666666
과천시,하남시,127.43
과천시,화성시,741.0816666666666
광명시,가평군,461.1966666666667
광명시,고양시,1976.1266666666668
광명시,과천시,503.70416666666665
광명시,광명시,328445.6516666667
광명시,광주시,566.2958333333333
광명시,구리시,153.5275
광명시,군포시,1323.9825
광명시,김포시,1255.0674999999999
광명시,남양주시,618.8991666666667
광명시,동두천시,60.44416666666666
광명시,부천시,6214.401666666668
광명시,성남시,2018.2283333333335
광명시,수원시,2171.250833333333
광명시,시흥시,7660.922500000001
광명시,안산시,3252.145
광명시,안성시,348.6716666666667
광명시,안양시,6615.649166666667
광명시,양주시,264.42
광명시,양평군,377.575
광명시,여주시,288.65166666666664
광명시,연천군,95.12333333333333
광명시,오산시,300.09583333333336
광명시,용인시,1589.3091666666667
광명시,의왕시,674.4341666666668
광명시,의정부시,292.3925
광명시,이천시,451.4866666666666
광명시,파주시,1034.2541666666666
광명시,평택시,786.6533333333333
광명시,포천시,311.24583333333334
광명시,하남시,389.29833333333335
광명시,화성시,2818.6733333333327
광주시,가평군,600.0358333333334
광주시,고양시,893.2491666666666
광주시,과천시,248.55500000000004
광주시,광명시,356.0291666666667
광주시,광주시,299663.38416666666
광주시,구리시,441.9066666666667
광주시,군포시,412.4983333333333
광주시,김포시,453.0566666666667
광주시,남양주시,1712.5491666666667
광주시,동두천시,82.00416666666666
광주시,부천시,565.1116666666667
광주시,성남시,37777.652500000004
광주시,수원시,2434.7900000000004
광주시,시흥시,683.8416666666666
광주시,안산시,808.2141666666666
광주시,안성시,701.4025
광주시,안양시,1083.0833333333333
광주시,양주시,311.7108333333333
광주시,양평군,1696.7291666666667
광주시,여주시,1815.9283333333333
광주시,연천군,80.67666666666666
광주시,오산시,288.14666666666665
광주시,용인시,11800.793333333335
광주시,의왕시,325.18750000000006
광주시,의정부시,471.2775
광주시,이천시,5558.235833333333
광주시,파주시,474.6933333333333
광주시,평택시,691.8683333333333
광주시,포천시,436.2775
광주시,하남시,5007.4383333333335
광주시,화성시,1700.96
구리시,가평군,970.7125
구리시,고양시,947.4058333333334
구리시,과천시,108.2275
구리시,광명시,129.50833333333333
구리시,광주시,816.7416666666667
구리시,구리시,183372.97166666668
구리시,군포시,115.46083333333333
구리시,김포시,311.9941666666667
구리시,남양주시,23688.8175
구리시,동두천시,120.54083333333334
구리시,부천시,276.18083333333334
구리시,성남시,1596.9491666666665
구리시,수원시,549.015
구리시,시흥시,221.50750000000002
구리시,안산시,248.49333333333334
구리시,안성시,167.8975
구리시,안양시,335.3875
구리시,양주시,567.1725
구리시,양평군,1203.3491666666666
구리시,여주시,311.4925
구리시,연천군,88.54416666666667
구리시,오산시,85.04166666666667
구리시,용인시,787.2441666666667
구리시,의왕시,94.02499999999999
구리시,의정부시,1206.955
구리시,이천시,486.75416666666666
구리시,파주시,440.4533333333333
구리시,평택시,214.04583333333332
구리시,포천시,1229.4308333333333
구리시,하남시,2505.5400000000004
구리시,화성시,465.14000000000004
군포시,가평군,373.3475
군포시,고양시,926.6991666666667
군포시,과천시,1814.131666666667
군포시,광명시,1906.8708333333334
군포시,광주시,742.035
군포시,구리시,118.4225
군포시,군포시,277689.92
군포시,김포시,513.705
군포시,남양주시,510.48
군포시,동두천시,43.300000000000004
군포시,부천시,1129.9383333333333
군포시,성남시,3573.471666666667
군포시,수원시,6710.220833333333
군포시,시흥시,3396.7691666666665
군포시,안산시,7444.584166666667
군포시,안성시,476.0533333333333
군포시,안양시,30126.4725
군포시,양주시,170.74833333333333
군포시,양평군,327.30583333333334
군포시,여주시,337.9825
군포시,연천군,63.70166666666666
군포시,오산시,572.6991666666667
군포시,용인시,2800.2766666666666
군포시,의왕시,9962.840833333334
군포시,의정부시,218.97083333333333
군포시,이천시,626.71
군포시,파주시,451.52833333333336
군포시,평택시,1415.1375
군포시,포천시,237.81166666666664
군포시,하남시,418.51
군포시,화성시,7315.471666666667
김포시,가평군,482.7291666666667
김포시,고양시,11537.526666666667
김포시,과천시,187.7266666666667
김포시,광명시,676.2825
김포시,광주시,400.6125
김포시,구리시,193.6783333333333
김포시,군포시,287.9633333333333
김포시,김포시,344371.44
김포시,남양주시,846.8783333333334
김포시,동두천시,103.58749999999999
김포시,부천시,4191.080833333333
김포시,성남시,1034.4016666666666
김포시,수원시,884.835
김포시,시흥시,1194.9783333333332
김포시,안산시,861.1925
김포시,안성시,233.50166666666667
김포시,안양시,762.1791666666667
김포시,양주시,561.7116666666667
김포시,양평군,299.4458333333333
김포시,여주시,200.91
김포시,연천군,269.31916666666666
김포시,오산시,145.41666666666666
김포시,용인시,998.9341666666666
김포시,의왕시,180.66916666666668
김포시,의정부시,508.2416666666666
김포시,이천시,293.07666666666665
김포시,파주시,4139.623333333333
김포시,평택시,433.7408333333333
김포시,포천시,552.2583333333333
김포시,하남시,378.21000000000004
김포시,화성시,1040.45
남양주시,가평군,6089.1525
남양주시,고양시,3270.0550000000003
남양주시,과천시,299.0775
남양주시,광명시,442.74333333333334
남양주시,광주시,2559.0933333333332
남양주시,구리시,30712.140833333335
남양주시,군포시,352.09833333333336
남양주시,김포시,1099.3783333333333
남양주시,남양주시,620733.7816666666
남양주시,동두천시,482.78916666666663
남양주시,부천시,955.7883333333334
남양주시,성남시,4364.905
남양주시,수원시,1587.2008333333333
남양주시,시흥시,767.0408333333334
남양주시,안산시,909.8649999999999
남양주시,안성시,514.8616666666667
남양주시,안양시,935.7950000000001
남양주시,양주시,2563.6908333333336
남양주시,양평군,4456.1875
남양주시,여주시,922.4383333333334
남양주시,연천군,419.3016666666667
남양주시,오산시,257.9225
남양주시,용인시,2508.420833333333
남양주시,의왕시,288.64916666666664
남양주시,의정부시,6631.610833333333
남양주시,이천시,1296.0241666666668
남양주시,파주시,1603.0258333333334
남양주시,평택시,709.9958333333334
남양주시,포천시,9662.285833333333
남양주시,하남시,9897.986666666666
남양주시,화성시,1499.7641666666668
동두천시,가평군,204.1591666666667
동두천시,고양시,577.3691666666667
동두천시,과천시,24.391666666666666
동두천시,광명시,45.36000000000001
동두천시,광주시,98.15499999999999
동두천시,구리시,182.10083333333333
동두천시,군포시,29.727499999999996
동두천시,김포시,140.00416666666666
동두천시,남양주시,607.1241666666666
동두천시,동두천시,94414.05833333333
동두천시,부천시,140.13333333333335
동두천시,성남시,215.83333333333334
동두천시,수원시,167.77666666666667
동두천시,시흥시,77.21416666666666
동두천시,안산시,124.57
동두천시,안성시,49.7125
동두천시,안양시,78.76083333333334
동두천시,양주시,9927.684166666668
동두천시,양평군,87.65333333333332
동두천시,여주시,51.22083333333333
동두천시,연천군,3538.345
동두천시,오산시,28.560833333333335
동두천시,용인시,196.90166666666667
동두천시,의왕시,26.7
동두천시,의정부시,4481.913333333333
동두천시,이천시,80.9975
동두천시,파주시,1007.2991666666667
동두천시,평택시,121.19500000000001
동두천시,포천시,2548.4666666666667
동두천시,하남시,135.8925
동두천시,화성시,148.26
부천시,가평군,1181.675
부천시,고양시,7403.498333333333
부천시,과천시,671.8000000000001
부천시,광명시,6623.626666666667
부천시,광주시,1076.5683333333334
부천시,구리시,374.2033333333333
부천시,군포시,1362.0249999999999
부천시,김포시,8582.295
부천시,남양주시,1552.3691666666666
부천시,동두천시,185.30499999999998
부천시,부천시,822419.645
부천시,성남시,3310.84
부천시,수원시,3365.254166666667
부천시,시흥시,17855.9475
부천시,안산시,5685.809166666667
부천시,안성시,715.1016666666666
부천시,안양시,3803.585833333333
부천시,양주시,962.7283333333334
부천시,양평군,850.7975
부천시,여주시,588.2258333333333
부천시,연천군,362.29749999999996
부천시,오산시,490.29
부천시,용인시,2903.314166666667
부천시,의왕시,730.8133333333334
부천시,의정부시,886.0941666666668
부천시,이천시,890.8116666666666
부천시,파주시,3792.8508333333334
부천시,평택시,1552.8541666666667
부천시,포천시,1005.3925
부천시,하남시,824.0566666666667
부천시,화성시,4547.949166666666
성남시,가평군,1693.9858333333334
성남시,고양시,2817.8308333333334
성남시,과천시,1302.1291666666666
성남시,광명시,1228.3
성남시,광주시,28558.198333333334
성남시,구리시,973.5541666666667
성남시,군포시,1627.3033333333333
성남시,김포시,1157.3675
성남시,남양주시,3472.099166666667
성남시,동두천시,206.39083333333335
성남시,부천시,1762.0583333333334
성남시,성남시,961574.3783333333
성남시,수원시,12637.285000000002
성남시,시흥시,1982.5199999999998
성남시,안산시,2703.478333333333
성남시,안성시,1653.8741666666667
성남시,안양시,5018.545833333333
성남시,양주시,745.3083333333334
성남시,양평군,2424.6608333333334
성남시,여주시,2749.7625000000003
성남시,연천군,191.17999999999998
성남시,오산시,1056.5341666666666
성남시,용인시,33722.60333333333
성남시,의왕시,1887.7375
성남시,의정부시,1058.0
성남시,이천시,5709.5225
성남시,파주시,1262.9491666666665
성남시,평택시,2351.4024999999997
성남시,포천시,1053.4025
성남시,하남시,8826.158333333333
성남시,화성시,7911.473333333334
수원시,가평군,1389.8025
수원시,고양시,2393.145
수원시,과천시,1889.755
수원시,광명시,2348.0891666666666
수원시,광주시,3258.4741666666664
수원시,구리시,507.99583333333334
수원시,군포시,7823.949166666666
수원시,김포시,1327.7883333333332
수원시,남양주시,1821.0775
수원시,동두천시,180.34083333333334
수원시,부천시,2408.7483333333334
수원시,성남시,18858.354166666668
수원시,수원시,1171913.1366666667
수원시,시흥시,4735.211666666667
수원시,안산시,13234.376666666669
수원시,안성시,3584.44
수원시,안양시,13362.8725
수원시,양주시,594.865
수원시,양평군,1257.0066666666667
수원시,여주시,1832.0974999999999
수원시,연천군,219.5
수원시,오산시,10013.2775
수원시,용인시,60361.4175
수원시,의왕시,7702.849999999999
수원시,의정부시,884.1091666666666
수원시,이천시,4705.663333333333
수원시,파주시,1274.5183333333334
수원시,평택시,11083.17
수원시,포천시,757.005
수원시,하남시,1477.0575000000001
수원시,화성시,84589.975
시흥시,가평군,500.3308333333334
시흥시,고양시,1759.8458333333335
시흥시,과천시,482.06
시흥시,광명시,5900.314166666667
시흥시,광주시,793.9683333333334
시흥시,구리시,190.43333333333337
시흥시,군포시,2032.8774999999998
시흥시,김포시,1656.38
시흥시,남양주시,750.6858333333333
시흥시,동두천시,73.6475
시흥시,부천시,12324.56
시흥시,성남시,1911.8458333333335
시흥시,수원시,3402.0425
시흥시,시흥시,419388.67416666663
시흥시,안산시,40256.23
시흥시,안성시,562.915
시흥시,안양시,5547.205833333333
시흥시,양주시,367.7891666666667
시흥시,양평군,387.3666666666666
시흥시,여주시,356.14416666666665
시흥시,연천군,129.47416666666666
시흥시,오산시,436.51833333333326
시흥시,용인시,2137.125
시흥시,의왕시,794.2466666666666
시흥시,의정부시,401.29750000000007
시흥시,이천시,705.2883333333334
시흥시,파주시,997.7925
시흥시,평택시,1413.3649999999998
시흥시,포천시,423.4791666666667
시흥시,하남시,456.22333333333336
시흥시,화성시,7269.444166666667
안산시,가평군,784.3516666666666
안산시,고양시,1922.9566666666667
안산시,과천시,1370.6141666666665
안산시,광명시,3340.0983333333334
안산시,광주시,1291.0141666666666
안산시,구리시,287.5808333333334
안산시,군포시,8731.5325
안산시,김포시,1458.6274999999998
안산시,남양주시,1141.6566666666665
안산시,동두천시,132.72
안산시,부천시,3373.595
안산시,성남시,3688.1775
안산시,수원시,13864.031666666668
안산시,시흥시,41373.806666666664
안산시,안산시,726745.1375000001
안산시,안성시,1183.2066666666667
안산시,안양시,11189.905833333332
안산시,양주시,511.1525
안산시,양평군,617.2791666666667
안산시,여주시,672.6466666666666
안산시,연천군,157.80666666666664
안산시,오산시,1312.82
안산시,용인시,5114.08
안산시,의왕시,2441.6124999999997
안산시,의정부시,557.5941666666666
안산시,이천시,1470.9691666666668
안산시,파주시,1171.9975
안산시,평택시,3597.2899999999995
안산시,포천시,570.4483333333334
안산시,하남시,776.555
안산시,화성시,31224.180833333332
안성시,가평군,134.71333333333334
안성시,고양시,363.8475
안성시,과천시,55.22833333333333
안성시,광명시,165.12833333333336
안성시,광주시,425.0566666666666
안성시,구리시,90.78750000000001
안성시,군포시,192.4958333333333
안성시,김포시,182.13833333333332
안성시,남양주시,329.07916666666665
안성시,동두천시,31.425833333333333
안성시,부천시,362.02
안성시,성남시,820.2191666666666
안성시,수원시,1812.0066666666664
안성시,시흥시,354.7266666666667
안성시,안산시,549.4875
안성시,안성시,186473.07916666663
안성시,안양시,370.0525
안성시,양주시,93.28416666666668
안성시,양평군,135.21333333333334
안성시,여주시,397.1858333333333
안성시,연천군,29.076666666666668
안성시,오산시,771.0316666666666
안성시,용인시,4163.906666666667
안성시,의왕시,125.07583333333334
안성시,의정부시,158.2108333333333
안성시,이천시,1709.99
안성시,파주시,179.19500000000002
안성시,평택시,16326.728333333334
안성시,포천시,109.875
안성시,하남시,203.145
안성시,화성시,2139.7858333333334
안양시,가평군,798.9350000000001
안양시,고양시,1891.3558333333333
안양시,과천시,6538.346666666667
안양시,광명시,9307.239166666666
안양시,광주시,1521.4099999999999
안양시,구리시,294.9875
안양시,군포시,22159.0625
안양시,김포시,1141.1783333333333
안양시,남양주시,1046.7016666666666
안양시,동두천시,83.205
안양시,부천시,2526.7208333333333
안양시,성남시,8043.8175
안양시,수원시,10208.7475
안양시,시흥시,7523.384166666667
안양시,안산시,8764.403333333334
안양시,안성시,859.3808333333333
안양시,안양시,572743.4891666666
안양시,양주시,340.3125
안양시,양평군,778.0300000000001
안양시,여주시,691.7008333333333
안양시,연천군,141.89666666666668
안양시,오산시,864.4
안양시,용인시,5177.515833333333
안양시,의왕시,20718.483333333334
안양시,의정부시,447.07750000000004
안양시,이천시,1307.9683333333332
안양시,파주시,1002.4716666666667
안양시,평택시,2152.023333333333
안양시,포천시,486.89166666666665
안양시,하남시,933.4166666666665
안양시,화성시,8961.36
양주시,가평군,506.5741666666667
양주시,고양시,2674.983333333333
양주시,과천시,58.06333333333333
양주시,광명시,124.01083333333332
양주시,광주시,321.69250000000005
양주시,구리시,478.84999999999997
양주시,군포시,91.13583333333334
양주시,김포시,477.87166666666667
양주시,남양주시,2217.726666666667
양주시,동두천시,6332.7175
양주시,부천시,378.4591666666666
양주시,성남시,522.435
양주시,수원시,411.97749999999996
양주시,시흥시,240.48916666666665
양주시,안산시,308.89833333333337
양주시,안성시,131.11666666666665
양주시,안양시,219.3475
양주시,양주시,205475.85916666666
양주시,양평군,263.755
양주시,여주시,138.40583333333333
양주시,연천군,1913.3908333333331
양주시,오산시,83.09416666666667
양주시,용인시,498.2791666666667
양주시,의왕시,62.262499999999996
양주시,의정부시,18098.675
양주시,이천시,226.24749999999997
양주시,파주시,2795.2833333333333
양주시,평택시,228.76583333333335
양주시,포천시,7394.428333333333
양주시,하남시,455.22499999999997
양주시,화성시,411.3933333333334
양평군,가평군,379.07
양평군,고양시,299.27916666666664
양평군,과천시,45.13999999999999
양평군,광명시,84.32333333333334
양평군,광주시,907.4233333333333
양평군,구리시,774.4441666666667
양평군,군포시,58.21666666666667
양평군,김포시,107.14416666666666
양평군,남양주시,2201.8741666666665
양평군,동두천시,27.22083333333333
양평군,부천시,178.03666666666666
양평군,성남시,663.6458333333334
양평군,수원시,324.6775
양평군,시흥시,119.1325
양평군,안산시,142.9025
양평군,안성시,86.91000000000001
양평군,안양시,180.17416666666668
양평군,양주시,110.34333333333335
양평군,양평군,97388.15166666666
양평군,여주시,1623.6408333333331
양평군,연천군,26.11666666666667
양평군,오산시,44.83833333333334
양평군,용인시,470.95416666666665
양평군,의왕시,58.20249999999999
양평군,의정부시,188.86333333333334
양평군,이천시,537.6341666666666
양평군,파주시,131.7825
양평군,평택시,114.24000000000001
양평군,포천시,129.42
양평군,하남시,1599.1525
양평군,화성시,214.42583333333334
여주시,가평군,135.69333333333333
여주시,고양시,217.75166666666667
여주시,과천시,27.439999999999998
여주시,광명시,85.56166666666667
여주시,광주시,1171.0341666666666
여주시,구리시,103.04583333333333
여주시,군포시,70.395
여주시,김포시,92.05833333333334
여주시,남양주시,346.78583333333336
여주시,동두천시,19.185
여주시,부천시,167.07833333333335
여주시,성남시,987.8858333333333
여주시,수원시,601.4958333333334
여주시,시흥시,148.88166666666666
여주시,안산시,177.86749999999998
여주시,안성시,317.05583333333334
여주시,안양시,166.17583333333332
여주시,양주시,84.46416666666666
여주시,양평군,1855.5016666666668
여주시,여주시,105304.38916666666
여주시,연천군,19.1125
여주시,오산시,69.60916666666667
여주시,용인시,909.8891666666667
여주시,의왕시,50.173333333333325
여주시,의정부시,121.71833333333332
여주시,이천시,9213.519166666667
여주시,파주시,115.64416666666666
여주시,평택시,185.62749999999997
여주시,포천시,81.94500000000001
여주시,하남시,269.8291666666667
여주시,화성시,321.9483333333333
연천군,가평군,66.50083333333333
연천군,고양시,337.8833333333333
연천군,과천시,9.366666666666667
연천군,광명시,23.679166666666664
연천군,광주시,39.2725
연천군,구리시,35.2725
연천군,군포시,21.670833333333334
연천군,김포시,76.74333333333333
연천군,남양주시,147.1291666666667
연천군,동두천시,1771.2958333333333
연천군,부천시,86.12833333333333
연천군,성남시,83.3125
연천군,수원시,99.44583333333334
연천군,시흥시,50.12583333333333
연천군,안산시,52.8675
연천군,안성시,19.785
연천군,안양시,56.185833333333335
연천군,양주시,1078.5566666666666
연천군,양평군,31.316666666666663
연천군,여주시,20.016666666666666
연천군,연천군,45636.12333333333
연천군,오산시,12.79
연천군,용인시,80.3625
연천군,의왕시,11.584166666666667
연천군,의정부시,899.3058333333333
연천군,이천시,29.381666666666664
연천군,파주시,1266.9199999999998
연천군,평택시,37.968333333333334
연천군,포천시,1181.6375
연천군,하남시,42.265
연천군,화성시,68.1975
오산시,가평군,226.61416666666665
오산시,고양시,377.31583333333333
오산시,과천시,127.11583333333334
오산시,광명시,245.50666666666666
오산시,광주시,431.1766666666667
오산시,구리시,94.46166666666666
오산시,군포시,502.3633333333334
오산시,김포시,216.77333333333334
오산시,남양주시,320.2758333333333
오산시,동두천시,36.240833333333335
오산시,부천시,438.71250000000003
오산시,성남시,1473.6883333333333
오산시,수원시,10772.355833333333
오산시,시흥시,566.6966666666666
오산시,안산시,1074.9424999999999
오산시,안성시,2127.0816666666665
오산시,안양시,955.0866666666667
오산시,양주시,126.90583333333332
오산시,양평군,176.46
오산시,여주시,247.06333333333336
오산시,연천군,34.708333333333336
오산시,오산시,205792.24916666668
오산시,용인시,7946.5575
오산시,의왕시,307.06083333333333
오산시,의정부시,173.23666666666668
오산시,이천시,645.9125
오산시,파주시,247.0475
오산시,평택시,14499.848333333333
오산시,포천시,134.33
오산시,하남시,211.92999999999998
오산시,화성시,31232.595833333336
용인시,가평군,1234.94
용인시,고양시,2316.5608333333334
용인시,과천시,921.6350000000001
용인시,광명시,1048.8191666666667
용인시,광주시,12903.624166666666
용인시,구리시,586.1908333333333
용인시,군포시,1699.0866666666668
용인시,김포시,1066.7191666666668
용인시,남양주시,2136.1891666666666
용인시,동두천시,163.52166666666668
용인시,부천시,1723.2
용인시,성남시,63553.18
용인시,수원시,52083.81416666667
용인시,시흥시,2028.9525
용인시,안산시,3399.0699999999997
