년월,출발지코드,도착지코드,종합 유입인구
202003,경기도외,안양시,8.52
202003,경기도외,부천시,5.34
202003,경기도외,광명시,1.6600000000000001
202003,경기도외,평택시,6.54
202003,경기도외,동두천시,0.78
202003,경기도외,안산시,7.2700000000000005
202003,경기도외,고양시,13.44
202003,경기도외,과천시,0.8900000000000001
202003,경기도외,구리시,3.6199999999999997
202003,경기도외,남양주시,9.77
202003,경기도외,오산시,4.830000000000001
202003,경기도외,시흥시,6.93
202003,경기도외,군포시,1.9
202003,경기도외,의왕시,1.42
202003,경기도외,하남시,4.04
202003,경기도외,용인시,18.090000000000003
202003,경기도외,파주시,3.83
202003,경기도외,이천시,4.92
202003,경기도외,안성시,9.2
202003,경기도외,김포시,3.7999999999999994
202003,경기도외,화성시,15.379999999999999
202003,경기도외,광주시,3.22
202003,경기도외,양주시,3.96
202003,경기도외,포천시,4.19
202003,경기도외,여주시,2.5700000000000003
202003,경기도외,연천군,0.12
202003,경기도외,가평군,0.9
202003,경기도외,양평군,2.2700000000000005
202003,경기도외,수원시,18.97
202003,경기도외,성남시,14.31
202003,경기도외,의정부시,4.6000000000000005
202003,경기도외,안양시,13.570000000000002
202003,경기도외,부천시,9.17
202003,경기도외,광명시,3.81
202003,경기도외,평택시,12.149999999999999
202003,경기도외,동두천시,1.1900000000000002
202003,경기도외,안산시,13.86
202003,경기도외,고양시,18.729999999999997
202003,경기도외,과천시,2.83
202003,경기도외,구리시,4.17
202003,경기도외,남양주시,12.870000000000001
202003,경기도외,오산시,5.52
202003,경기도외,시흥시,8.319999999999999
202003,경기도외,군포시,6.4
202003,경기도외,의왕시,5.04
202003,경기도외,하남시,6.1000000000000005
202003,경기도외,용인시,24.38
202003,경기도외,파주시,5.780000000000001
202003,경기도외,이천시,8.69
202003,경기도외,안성시,6.520000000000001
202003,경기도외,김포시,10.98
202003,경기도외,화성시,21.68
202003,경기도외,광주시,4.26
202003,경기도외,양주시,2.8200000000000003
202003,경기도외,포천시,2.5199999999999996
202003,경기도외,여주시,3.59
202003,경기도외,연천군,0.96
202003,경기도외,가평군,0.8399999999999999
202003,경기도외,양평군,2.03
202003,경기도외,수원시,23.430000000000003
202003,경기도외,성남시,29.02
202003,경기도외,의정부시,4.2700000000000005
202003,경기도외,안양시,10.739999999999998
202003,경기도외,부천시,13.210000000000003
202003,경기도외,광명시,6.909999999999999
202003,경기도외,평택시,11.909999999999998
202003,경기도외,동두천시,0.9299999999999999
202003,경기도외,안산시,19.05
202003,경기도외,고양시,18.679999999999996
202003,경기도외,과천시,2.1
202003,경기도외,구리시,4.48
202003,경기도외,남양주시,13.119999999999997
202003,경기도외,오산시,3.2600000000000002
202003,경기도외,시흥시,7.74
202003,경기도외,군포시,3.2299999999999995
202003,경기도외,의왕시,3.45
202003,경기도외,하남시,8.05
202003,경기도외,용인시,29.26
202003,경기도외,파주시,4.720000000000001
202003,경기도외,이천시,13.77
202003,경기도외,안성시,5.73
202003,경기도외,김포시,7.359999999999999
202003,경기도외,화성시,17.220000000000002
202003,경기도외,광주시,7.85
202003,경기도외,양주시,3.5400000000000005
202003,경기도외,포천시,2.92
202003,경기도외,여주시,2.21
202003,경기도외,연천군,3.28
202003,경기도외,가평군,4.890000000000001
202003,경기도외,양평군,2.16
202003,경기도외,수원시,15.530000000000001
202003,경기도외,성남시,10.760000000000002
202003,경기도외,의정부시,0.5800000000000001
202003,경기도외,안양시,9.21
202003,경기도외,부천시,3.8
202003,경기도외,광명시,3.2300000000000004
202003,경기도외,평택시,6.000000000000001
202003,경기도외,동두천시,0.15
202003,경기도외,안산시,9.04
202003,경기도외,고양시,13.979999999999999
202003,경기도외,과천시,0.09
202003,경기도외,구리시,7.869999999999999
202003,경기도외,남양주시,10.599999999999998
202003,경기도외,오산시,1.8900000000000001
202003,경기도외,시흥시,3.9299999999999997
202003,경기도외,군포시,2.95
202003,경기도외,의왕시,1.19
202003,경기도외,하남시,4.58
202003,경기도외,용인시,9.270000000000001
202003,경기도외,파주시,6.129999999999999
202003,경기도외,이천시,2.3399999999999994
202003,경기도외,안성시,5.46
202003,경기도외,김포시,5.27
202003,경기도외,화성시,8.98
202003,경기도외,광주시,2.33
202003,경기도외,양주시,3.49
