merchant,user_name,user_rank,num_response,user_star,time,rating,content
1984,ONE,39,189,3.5,2022.07.08.,1.0,"커피 맛없고요. 신커피네요. 레몬에이드는 얼음탄 레몬차입니다. 탄산이 전혀 없어요. 둘다 6,500원인데 뭔자신감인지? 3천원해야 맞을것 같은데?? 북카페인데 시끄럽고요. 테이블 간격 좁네요. 의자도 불편함."
1984,므ㅏ,4,16,3.8,2022.07.06.,5.0,
1984,.,42,277,4.8,2022.06.11.,5.0,"무선 충전기 있음, 공부하기 좋은 좌석, 사람 많음, 늦은 시간까지 영업, 바스크 치즈케이크 맛있음, 단체석 확"
1984,cnhjb,27,377,4.2,2022.06.04.,3.0,
1984,ㅇㅙ,31,94,4.0,2022.05.20.,5.0,아아 되게 맛있어요여러번 와봤는데 올때마다 분위기가 다른거같아요. 조용할땐 조용하고 시끄러울땐 시끄럽고.아쉬운건 여럿이서 같이 일하기엔 낮은 탁자가 많아요! 혼자서 일하기엔 딱 좋아요 ㅎㅎ
1984,박연진,5,2,1.0,2022.05.12.,1.0,"1점도 주기 아깝네요 사장님.금일 방문 하였습니다. 친구 세명이랑 갔는데테라스 4인테이블에 셋이 앉아있었는데안에 자리가 없던것도 아니고,사장님 지인으로 보이시는분 앉힐려고 저희를 내쫒으셨더군요? 기분 진짜 나빴어요.2인1테이블 이라면서 좁은 자리에 의자 갖다 주고는 ( 테이블이랑 높이가 맞지도 않는 불편한 플라스틱 의자) 그냥 나몰라라;;;장사 잘되신다고 손님한테 막대하시는건지 모르겠는데 지인분 챙기고 싶으시면 그런 테이블을 따로 만드세요 손님 불편하게 하지마시구요.푹 쉬러 간 카페 돈주고 고르지도 않은 불편한 자리에서 시간 뻐기다 그냥 나왔네요 :( 다른분들도 여기 잘 보고, 4인테이블에 3명 앉았다고 눈치주는 카페 잘 생각해보고 가세요 ㅎㅎㅎ"
1984,최혜정,6,6,1.0,2022.05.12.,1.0,"6인 테이블에 커플 두명 앉아있는 곳도있는데 그곳은 가만히 놔두고, 테라스 4인 테이블에 친구 셋이서 앉아있는데 4인테이블이라 앉으면 안된다고 2인 테이블에 의자 가져다 줄 테니 셋이 앉으라고 하더니 테라스 자리에 지 지인데려와서 앉혀놓고 서비스엄청 주더라구요 ㅋㅋㅋ 그냥 솔찍하게 지인 테라스 앉혀주고 싶다고 말을 하시던가요 ㅋㅋㅋ 그리고 상식적으로 생각해도 4인테이블에 3인 앉았다고 2인테이블로 보내고 테이블 보다 훨씬 높은 의자 가져다 주는 카페가 어딨나요? 절대 안갑니다 여기 ㅋㅋㅋ 이렇게 장사 하실거면 그냥 지인카페로 만드세요;"
1984,ubini,7,7,4.3,2022.05.01.,5.0,"분위기 좋고 노트북하기 좋은카페, 커피 맛있음"
1984,박소연,26,196,4.4,2022.03.24.,5.0,분위기 좋아요!! 인스타 업로드 하기 좋은 카페 ㅋㅋㅋ
1984,사과나무,60,639,4.1,2022.02.20.,3.0,뱅쇼~ 알딸딸~추운 날씨에 따뜻하게 잘 마시고 왔습니다 평일 5시경 방문. 한가한편.가격은 저렴하진 않아요~^^
1984,미음,9,10,4.6,2021.12.20.,1.0,테이블 사이 간격이 너무 좁고 조금 불친절합니다.. 자주 가던 곳이었는데 이제 안 갈 듯 해요ㅜ
1984,만족하면 후기남겨요,17,25,4.9,2021.11.22.,5.0,사실 몇년새 분위기가 많이 바뀌었어요손님도 엄청많이 늘었고요그래서 다소 왁자지껄해지고 이래저래 불편한점도 꽤 생겼습니다그래도 항상 애정하는 공간입니다
1984,난지금입니다!,11,16,3.7,2021.10.31.,2.0,"우퍼 때문에 책상에 진동이 느껴질 정도면 북카페 분류는 떼는게 맞지 않나요? 그저 책은 마케팅용으로 전시한 느낌이고, 책 좋아하는 사람이 만든 공간이라는 생각이 전혀 안듬"
1984,ㅎㄷㅊㅎ4,12,17,2.4,2021.10.24.,2.0,북카페치고는진짜 많이 과하게 아주 시끄러움...
1984,익명,33,278,3.7,2021.10.22.,3.0,"4점재방문의사 유아이스라떼 맛있음(곡물 특유의 고소함이 남)수정(3점)라떼 맛없어짐, 직원마다 맛이 다른듯. 가격대비 생각하면 1.8점재방문의사:무"
1984,눈의띠네,33,555,3.8,2021.10.17.,4.0,작업하기 좋은 환경
1984,맑음,14,37,3.9,2021.09.28.,5.0,분위기 좋아요. 자유롭고 개인업무하기 좋은 공간. 바뀌는 전시랑 판매품 구경도 쏠쏠. 음료맛은 무난.
1984,카페에진심인사람,15,31,4.1,2021.09.15.,5.0,"방문횟수: 6/ 분위기: 너무좋음인스타감성,프라이탁있음 /음악: 적당한크기 /음료: 말차라떼추천 /화장실: 외부에있음깨끗,책달린키들고들어감,화장실도느낌있음 /작업: 콘센트많음,작업하거나공부하는사람많고눈치안줌"
1984,안전이 최고,30,115,4.0,2021.08.21.,5.0,시설은 정말 좋네요야외 테이블에서 책읽으니 시간 가는줄 모르고 읽었어요집근처라면 매일 가서 여유를 즐기고 싶은 곳이에요.아이스라떼는 우유 고소한 맛보다 커피쓴맛이 많이 나네요아메리카노와 라떼 그 중간 정도의 맛? 라떼 좋아하는데 여긴 무슨 맛인지 잘 모르겠음 ㅋㅋ
1984,ㅎㅎ,22,115,4.2,2021.07.07.,4.0,
1984,똑단,13,10,4.0,2021.05.24.,3.0,공간구성 GOOD. 집 근처였으면 자주왔을듯. 직원분들이 그렇게 친절하지는 않은게 약간 아쉽.
1984,먹고노는게제일좋아,69,904,3.7,2021.05.16.,4.0,조용하진 않아요 와글와글ㅋㅋㅋ
1984,맛집러버,2,2,3.5,2021.04.25.,4.0,분위기가 좋고 개인 업무하기 좋아요. 분위기가 마음에 드네요.
1984,진솔,11,17,4.8,2021.03.18.,5.0,북카페라고 하기엔 노래 소리가 크고 의자가 뒤로 젖혀져 있어서 앉아있기 힘듬음료는 쏘쏘
1984,hoho,41,185,4.1,2021.03.02.,5.0,"홍대역 인근 서점 & 아트샵 & 카페.3대째 이어오고 있는 혜원출판사에서 운영하는 곳이라고 하네요. 사진이나 문학, 커피나 차 종류를 테마로 다룬 책들이 주로 눈에 띄었고 엽서, 인센스, 에코백 같은 상품들을 구경할 수 있어요.종류가 많지는 않지먼 케이크 종류가 특색 있는 편. 사진은 인절미쑥케이크, 톰과 제리에 나오는 구멍 뚫린 치즈 모양 케이크도 있었어요. 커피는 리필이 됩니다.가운데 카운터를 중심으로 전반부와 좌측은 서점 & 아트샵, 후반부와 우측은 카페 공간으로 구성돼 있으며 1~2인 규모로 방문해 각자의 시간을 즐기는 조용한 분위기입니다."
1984,Im,34,130,3.5,2020.11.30.,1.0,음료만 주문하려했는데 갑자기 매장 이용하시려면 샌드위치도 주문해야된다고함강매 레전드짜증나서 그냥 이용안하고 말지.. 섭식장애 있는 사람은 어떻게 매장 이용하나요 ~
1984,Ivy,38,145,3.9,2020.11.23.,5.0,"i really liked the atmosphere here—the open indoor-outdoor flow, lots of people working and lively music made me feel very productivethey also sell a lot of unique 1984 products in their store—if only i actually liked the novel...their matcha tasted a bit artificial? but i actually liked it haha—it was light and not too sweeti will definitely come back whenever i want to go shopping in hongdae"
1984,리뷰왕,43,321,4.2,2020.11.08.,3.0,공부하러 갔는데 사람많고 시끌시끌한 분위기네요 의외로 좁고 테이블도 다닥다닥 콘센트 별로없어요 커피는 맛있었어요
1984,또또,55,608,4.2,2020.11.03.,5.0,공부하기 좋고 친절하심구경거리도 좋음
1984,굳세어라,14,70,3.9,2020.10.10.,5.0,
1984,Rilke,18,22,5.0,2020.08.15.,5.0,맛있고 구경할 책과 문구용품이 많아서 좋아요. 1층인데 계단 2개 정도 올라와야해서 휠체어 이용은 조금 어려움이 있습니다.
1984,맛있으면 짖는 개,31,43,4.0,2020.08.10.,4.0,왈
1984,인싸미식가,10,13,4.4,2020.08.09.,3.0,화장실이 아늑해요노트북 들고가서 인상쓰고 있으면왠지 고독한 현대인 르끰~누가 읽을까 싶은 책들이랑엄청 비싼 재활용 상품 팔지만귀여운 장난감이 있어서 3점비오는 날에 분위기 좋아요
1984,뇸뇸,16,33,3.8,2020.08.01.,4.0,
1984,jmy,2,2,1.5,2020.07.22.,1.0,"여자 알바분 불친절 하시네요; 시끄러워서 못들었을 수 있지 째려보는 건 무슨,,,?"
1984,poy,4,15,2.3,2020.07.19.,1.0,북카페인데 음악이 왜이러죠 너무 시끄럽네요
1984,Milly/ eunseon song,3,1,4.0,2020.06.15.,4.0,"프라이탁 구경 갔는데 가방이 많지는 않았다. 컨셉 샵 느낌의 카페 오픈되있고, 세련된 느낌."
1984,쇼미,9,10,3.3,2020.06.14.,4.0,시원시원한 카페 분위기였어요조용하진않고 약간 시끌벅적..?인테리어 깔끔하고 화장실도 깔끔함!
1984,예정,2,2,4.0,2020.02.05.,3.0,북카페인데 책읽기엔 시끄러워요
1984,b,19,35,3.7,2020.01.30.,4.0,카페 자리도 편하게 잘 돼있고 책이나 굿즈들 구경할 수도 있어서 좋았어요
1984,오전필,19,381,5.0,2019.09.28.,5.0,
1984,ㅇㅇ,26,566,3.5,2019.07.31.,5.0,
1984,해피뽀뽀,10,20,4.3,2019.03.21.,4.0,책읽고 커피마시기에 조용한 분위기는 아니에요. 그래도 구경거리도 많고 주스맛이 그리좋아
1984,박상정,63,659,3.6,2018.10.25.,5.0,좋아하는 장소입니다. 커피는 비싸지만 맛이있고 서적과 문구 그리고 종종 재밌는 문화행사를 해서 좋아하는 공간입니다.
1984,So,10,15,4.5,2018.09.20.,5.0,또가고싶은곳!
1984,sorasun,32,379,3.0,2018.09.12.,2.0,분위기도 좋고 볼거리가 가득하고 지름신이 내릴 수 있지만...점원들이 너무 우울합니다...
1984,tkhsjr,32,911,3.7,2018.09.06.,5.0,가면 꼭 책 한 두 권씩 사갖고 나오게 돼요! 독립서점 및 카페 같아요.
1984,최호영,11,"1,041",3.0,2018.08.11.,3.0,
1984,쫑,12,435,4.1,2017.03.31.,4.0,
1984,nujay,11,262,3.7,2017.02.02.,3.0,
1984,전주희,39,446,3.2,2016.03.11.,3.0,예술이야ㅋ
21세기 우리바다수산,doct,12,27,3.6,2024.03.03.,3.0,그냥저냥 먹을만함그래도 다섯번정도 방문한거 보면  뭔가 매력이 있는 것 같기도 함
21세기 우리바다수산,Nate 네이트,11,10,4.2,2023.12.29.,3.0,"It was pretty mid. Just average. Price is slightly high. If you’re a poor 학생 living in a 고시원 with a shared bathroom, no access to dryer I would probably avoid this place because that money is better spent at a laundromat. Salmon was bussin tho 👌"
21세기 우리바다수산,냥냥,10,12,4.6,2023.12.20.,4.0,금욜 저녁 7시에 가서 2시간  기다렸다 먹었고 가성비도 별로였지만 존맛이라 용서
21세기 우리바다수산,흰둥이네,22,35,3.5,2023.12.03.,1.0,"진짜 최악중에 최악. 셋팅 다하고 반찬도 먹고 있는데 단체 왔다고 짜증내면서 귀찮은 말투로 자리 옮기라고함. 30분 기다려서 메뉴 나왔는데, 전혀 다른 메뉴가 나옴. 미안하단 말한마디 없음. 매운탕 시켰는데 역시나 안나옴. 10분 기다리다 달라고 벨 다시 누르니 이미 만들어놓은거 5초만에 들고옴. 방어 물량 없다고 무조건 광어 등이랑 섞어서 시켜야댐. 가격은 똑같이 받음. 총체적 난국 , 직원 ㅈㄴ 불친절, 눈치보면서 먹어야댐."
21세기 우리바다수산,지원,5,4,2.0,2023.11.24.,1.0,"다른 식당은 줄이 너무 길어서 2시간 넘게 기다려야 하길래 여기로 왔습니다. 대기 없이 바로 입장 해서 좋았는데.. 방어로만 주문은 안되고 무조건 반반만 시켜야 한다고 하더라고요. 근데 이렇게 하얀 방어는 처음 봤는데... 맛이 무맛(아무맛도 안남)이더라구요.. 올해 첫 방어인데 아쉽습니다.. ㅠㅠ 그래도 사이드로 주신 전이랑 초밥용 밥은 맛있었어요. 셀프바 안내가 없어서 몰랐는데, 야채랑 추가 반찬은 셀프바에서 드시면 됩니다! 매장 안이 너무 추우니 따뜻하게 입고 가세요!"
21세기 우리바다수산,변상철,5,5,3.8,2023.11.24.,1.0,최악이네요.전화는 아예 받질 안는군요.주문배달초포장 변경은 어찌하라는건지…
21세기 우리바다수산,정히를따르라,62,960,3.5,2023.11.19.,3.0,방어굳
21세기 우리바다수산,젹,24,59,3.1,2023.10.06.,4.0,전어회랑 생새우회 먹었는데 새우가 신선하고 큼지막해서 좋았어요. 찬은 아쉽긴 합니다만 전반적인 가격대가 오히려 동네 술집보다 저렴했습니다. 웨이팅은 없었지만 테이블 간격이 좁아 옆에서 크게 떠들면 불편할 수도 있겠어요. 직원분들이 특별히 불친절하진 않았습니다.
21세기 우리바다수산,@@,4,4,1.8,2023.09.27.,1.0,회도 별로 찬도 별로좁은공간에 테이블다닥다닥옆사람과 합석수준 대화불가
21세기 우리바다수산,.,26,112,3.3,2023.07.04.,5.0,친절하던디….
21세기 우리바다수산,eanter,4,11,2.5,2023.01.14.,1.0,
21세기 우리바다수산,박선영,3,1,1.0,2022.11.14.,1.0,참으로 불친절 함. 심지어 맛도.. 양도... 다 별로ㅎ 콘치즈 안 나오냐 하니 ㅎ 본인 가게는 콘치즈가 없데.ㅎ 후기에 떡 하니 콘치즈 사진이 있는데.. 다른 집 줄서는 거 싫어서 걍 갔더니줄서는 맛집들은 이유가 있음. 계산하고 나오면서 앞으론 맛집 줄을 서겠다고 다짐함
21세기 우리바다수산,Harin Harry Lee,21,97,3.9,2022.10.20.,1.0,사장님이랑 직원 서비스가 개똥같아요^_^
21세기 우리바다수산,1234,23,49,4.1,2022.09.29.,5.0,회 싱싱한건 인정..위치 특성상 시끄러운건 어쩔수없는듯밑반찬들이 다 맛있어요
21세기 우리바다수산,이민재,3,10,4.4,2022.08.26.,4.0,
21세기 우리바다수산,Kash,2,2,5.0,2022.08.10.,5.0,
21세기 우리바다수산,희수,2,1,5.0,2022.04.29.,5.0,"맛남,,"
21세기 우리바다수산,sage,21,35,3.4,2022.03.27.,4.0,역시 홍대입구역 횟집은 최고입니다!! 도다리회와 지리를 먹었는데 둘 다 정말 맛이 좋아요!!
21세기 우리바다수산,.,2,1,1.0,2021.12.14.,1.0,
21세기 우리바다수산,ssh,12,18,3.9,2021.12.10.,3.0,좀 오래걸려서 나오긴했는데 맛은 좋았어요! 다만 직원분이 살짝 불친절하신편 ㅠ 저녁이라 진짜 추웠는데 제 자리 바로 옆 창문을 활짝 여시길래..넘 추운데 닫으면 안되냐고 부탁했더니 환기 안시킨지 오래돼서 닫으면 안된다고 냅두라고 하셔서 ㅠ추워서 술이 깼습니다... ㅠ
21세기 우리바다수산,또,6,9,4.2,2021.11.30.,2.0,광어+연어 시켰는데광어+우럭나왔음잘못 나왔다고 말씀드렸는데우럭 시켰다고 우기면서 절대 안 바꿔줌옆 좌석에서도 연어라고 말해 주셨는데.. 소용없음
21세기 우리바다수산,짱아,54,414,4.2,2021.11.24.,1.0,왜 2점대인지 알 수 있었던 횟집. 너무 추웠고 가려던 방어집이 닫아서 들어왔는데 방어회도 맛 없고 매운탕도 그닥 .. 서빙하시는 분은 대답도 안하고 ;
21세기 우리바다수산,주블리,2,1,1.0,2021.11.11.,1.0,1점도 아깝. 맛을 떠나서 계산하려고 보니 매운탕 세트 시켯는데 매운탕 추가로 넣고 술병도 더 많이 계산해서 얘기하니 테이블에 시키지도 않은 새 술 병 올려놓고 그만큼 시켰다고 해서 진짜 어이없었음. 영수증 꼭 확인해야할듯
21세기 우리바다수산,부활,8,7,4.0,2021.10.10.,2.0,회가 싱싱해서 가끔 가는 곳인데오늘은 실망이네요ㅜㅜ연어초밥 활어 초밥을 포장해 갔는데연어는 괜찮았는데활어 초밥은 회가 오래되어서 많이 푸석푸석하고 물을 많이 먹었네요ㅜㅜ싱싱함이 관건인데ㅜㅜ고민하다 올려봅니다. 참고하시고  더 신경쓰시면 좋은 가게가 되지않을까 싶어서요~~
21세기 우리바다수산,우리동네맛집,3,6,5.0,2021.10.05.,5.0,광어랑 새우튀김 맛있음. 겨울에는 방어 맛집
21세기 우리바다수산,맛캣,45,446,3.3,2021.09.19.,2.0,맛이 없어여ㅜ
21세기 우리바다수산,고독한 탐식가,100,"5,449",3.1,2021.01.16.,4.0,대방어 사이즈도 좋고 양도 푸짐하고 배리 굿 !!! 이 추운 날 굳이 '바다회사랑'에 갈 일 있냐?  ㅋ
21세기 우리바다수산,정직한 식객,15,24,2.5,2020.10.31.,1.0,방어회는 맛있었으나 종업원 친절도가 급격히 떨어짐내돈주고 먹는데 눈치가 보일정도로 불친절
21세기 우리바다수산,플랫아이언,5,9,3.7,2020.10.24.,1.0,양이 적고 매운탕은 별로
21세기 우리바다수산,홍홍홍,33,223,3.7,2020.10.10.,2.0,"한줄평 : 위치빨로 장사하는집- 맛 : 솜씨가 필요없는 음식은 평타, 아닌건 별로- 가격 : 홍대물가 생각하면 비싸진않지만 퀄리티를 고려할 시 갸웃하게되는 값- 서비스 : 불친절하진 않은데 실수가 너무 많아서 기분을 잡칠수도 있음당신의 콘치즈는 익었을수도 안익었을수도 있습니다.당신의 새우구이는 직원이 봐줄수도 안봐줄수도 있습니다."
21세기 우리바다수산,ㄹㄹ,5,4,2.3,2020.10.03.,1.0,"밥을 먹은 적이 없는데 사이드메뉴인 미역국에서 밥알나옴 /재탕이라고는 차마 상상조차 하기 싫지만 재탕이든 설거지를 제대로 안한거든, 비싼 돈 내고 먹엇는데 비위 상햇네요"
21세기 우리바다수산,서대문구대표돼지,72,832,3.3,2020.09.13.,3.0,적당히 다 맛있고 적당히 친절하심
21세기 우리바다수산,오숑,4,7,4.0,2020.09.10.,1.0,"쿠팡잇츠로 배달 주문했는데, 40분 지나서 배달기사가 전화해서 아직도 음식이 안 나왔으니  주문 취소해달라는 연락 받았어요. 음식점이 수용할 수 있는 범위내에서 주문 받았야 하지 않을 까요?"
21세기 우리바다수산,차우승,5,6,2.2,2020.06.14.,1.0,평소 자주 가는편이었으나 오늘은일하는 아주머니 테이블 치워준다더니 넵킨으로 대충닦고 음식물 얼룩이 그대로 있는데 그냥 세팅 들어가더군요맥주잔은 제대로 씻기지않아 입댄자국엔 음식물이 말라붙어있고 정말 최악이었음아무리 바빠도 테이블은 잘 닦아줘야지 그게 뭡니까가장 기본적인것이 무너지면 끝난거 아닌가
21세기 우리바다수산,John,24,152,4.7,2020.05.02.,3.0,걍 그럼.. 또 오진 않을듯
21세기 우리바다수산,이진아,11,14,3.3,2020.03.15.,1.0,불친절하고 화장실..진짜..
21세기 우리바다수산,통골뱅이,17,22,3.7,2020.02.17.,4.0,가성비 굿넘 바빠서 친절이고 뭐고 따질 겨를이 없었음방어 맛있었음
