merchant,total_rating
1984,-0.2751136363636364
21세기 우리바다수산,-0.8216
38도씨식당,0.4613333333333333
943킹스크로스,-0.23091666666666666
가로수포차,-0.40499999999999997
가미우동,0.4300621118012423
가비애,0.08535714285714288
감성타코 홍대점,-0.3182089552238806
강강술래 홍대점,0.25565217391304346
개화기요정,-1.1169047619047618
겨울이머무는집,-0.6166176470588235
경주식당,0.06867647058823531
고고갈비 홍대상수점,-0.2304545454545455
고베규카츠 상수점,-0.6060869565217392
고수포차,0.4946428571428572
광동포차,-0.27999999999999986
괴르츠,-0.3227586206896552
구공탄곱창 본점,0.08120000000000002
구스토타코,-0.007187500000000009
금옥당 서교점,0.14575000000000005
김앤김대게 서교점,-0.5135714285714286
꼼보포차 홍대2호점,-0.6008
꽃피는고기 홍대본점,0.8861764705882353
냉장고,0.6714503816793894
달콤왕가탕후루,-0.6198360655737705
달콤한거짓말,0.36725274725274726
닭꼬얌,0.07644067796610172
대포막창,0.2750000000000001
더담,-0.5116129032258064
더피자보이즈 합정본점,0.1183582089552239
델리인디아,0.6157657657657658
델문도,-0.62625
도마 홍대본점,0.3550943396226415
돈주는남자 마포점,-0.3544
둥지닭볶음탕,0.6065789473684211
땡스네이쳐,0.33275
또보겠지떡볶이집 붕붕허니비점,0.0036879432624113665
또보겠지떡볶이집 스마일보이점,-0.2531746031746031
또보겠지떡볶이집 호호피크닉점,-0.006612903225806454
라멘트럭 상수본점,-0.3212179487179487
락희돈,0.06544303797468357
로쏘1924,-0.0028030303030302448
룸넘버3 브런치 카페&와인,0.3463636363636363
리얼이스케이프챌린지,-0.8777777777777778
마녀주방 홍대점,-0.10074999999999998
마루샤브스카이 홍대직영점,0.66
막걸리싸롱 홍대본점,-1.3863636363636365
만만코코로 홍대점,-1.219
맛이차이나,-0.07713333333333332
멘야산다이메 홍대점,0.06677419354838714
멜로우,0.15352941176470586
모멘트커피,-0.4305555555555556
몬스터피자 본점,-0.06517241379310346
몰토베네,0.5617283950617284
무대륙,-0.1317
무라,-0.10282051282051281
미로식당,0.09714285714285711
미어캣프랜즈,-0.8972881355932204
민트하임,-0.06062499999999993
바다포차 시실리,0.4686666666666666
바다회사랑 2호점,-0.38839743589743586
배터리88,-0.8139473684210526
백년토종삼계탕 본점,-0.12586956521739134
버터밀크,0.24598173515981742
벽돌포차,-0.35944444444444446
별자리마라탕 홍대점,0.2065168539325843
별천지설농탕,-0.016818181818181795
보승회관 홍대직영점,-0.7092452830188678
부산집 홍대본점,0.4838775510204082
부탄츄 홍대점,-0.9229468599033817
브레이크아웃이스케이프 홍대점,0.20360000000000003
비스트로사랑방,0.06901639344262299
비스트로주라,0.3660824742268041
비트포비아 홍대던전점,-0.48727272727272725
비하인드,0.4056603773584906
빠넬로,0.07809523809523812
산리오러버스클럽,-0.20734374999999997
산울림1992,-0.03441176470588234
삼거리포차,-0.607857142857143
서강8경,-0.4075757575757576
서교참치,0.19599999999999995
서울이스케이프룸 홍대2호점,-0.7045454545454545
소코아 홍대점,0.27871999999999997
손오공마라탕,-0.16466666666666666
수상한베이글,0.019318181818181814
수지앤파스타,0.1309803921568628
스노브,-0.34829787234042553
스시오 홍대점,-1.143312883435583
스아게K,-0.0016384180790960127
스케줄 합정,-0.38
스타벅스 홍대삼거리점,0.4238888888888889
스탠스커피,0.29053333333333337
스파카나폴리,0.30014778325123154
스페이스원,0.7145544554455445
시루케이크,0.5097701149425288
식스티즈,0.5665934065934066
신미경홍대닭갈비,0.19699404761904762
신주양꼬치 홍대점,-0.8147222222222222
심양 홍대점,-0.20121951219512196
싸인이스케이프 홍대점,0.5855555555555555
썰스데이파티,-0.5175
아마,0.5394117647058825
아오이토리,0.08575630252100842
아웃닭 홍대점,-0.05153846153846157
앤디스커피,-0.8123333333333334
앤트러사이트 합정점,-0.1924581005586592
앵춘,0.17826086956521744
야키토리 나루토,0.7805612244897959
어른이대공원,-0.9310344827586207
어리,0.1090384615384615
어메이징농카이,-0.001739130434782575
어반플랜트 합정,0.17549382716049383
여우골 홍대서교점,0.7084507042253522
여우골 홍대점,0.21701492537313438
예티,0.19061538461538463
옛맛서울불고기 (2024년 5월 예정),-0.15581632653061223
오레노라멘 합정본점,0.5973861720067454
오리지널시카고피자 홍대본점,-0.44026315789473686
옥동식 서교점,0.10578171091445428
온달집 홍대직영점,0.08795833333333333
온블랙94,0.11599999999999998
옹다래찜닭 홍대점,-0.05461538461538454
와우끝집,0.054864864864864846
왔쏘 홍대점,0.5388461538461539
우동카덴 합정점,-0.5701904761904761
우와 홍대본점,-0.3944642857142857
웃사브,-0.516547619047619
위키드찜닭,-0.6024999999999999
육연해by육회먹은연어 홍대점,-0.34545454545454546
윤씨밀방,0.0016374269005848124
은행골 홍대점,-0.2031481481481481
이미커피,0.4616800000000001
이빠네마그릴 홍대점,0.468780487804878
이치류 홍대본점,0.5105434782608697
일편등심,0.0024324324324325065
자세,-0.47475000000000006
재미난조각가 홍대점,-0.314
정돈,0.4676381909547739
제비다방,0.41474226804123715
제순식당 홍대점,0.7408510638297873
제임스시카고피자 홍대본점,0.007629179331307001
조선화로구이,-0.18032258064516124
중화복춘,0.12956521739130436
지로우라멘,0.2107792207792208
진진,-0.1152542372881356
집사의하루 홍대점,0.22847328244274812
짬뽕지존 홍대점,-0.23249999999999998
참새방앗간,-0.6890322580645162
철길왕갈비살,-0.21129629629629626
철인7호치킨 홍대점,1.1512009063444109
츠케루,0.2511038961038961
치치 서교점,-0.641578947368421
카미야,0.2884816753926702
카와카츠 본점,0.33122857142857143
