merchant,total_rating
프리모바치오바치 홍대본점,0.15276595744680854
플레이트946,0.874848484848485
피오니 홍대점,-0.06317518248175182
피자네버슬립스 합정상수점,-0.25836065573770495
하이디라오 홍대지점,0.28016949152542375
하카타분코,-0.45071428571428573
하하&김종국의 401정육식당 홍대본점,-1.218888888888889
허밍벨라,-0.5697777777777777
혼가츠,-0.7631067961165049
홍대 조선시대,0.005502008032128517
홍대반지카페 본점,-0.31173913043478263
홍대삭 상수본점,0.07147368421052631
홍대씨부엉,0.05054054054054055
홍대인파스타,-0.3345833333333333
홍대조폭떡볶이 홍대2호점,-0.7536363636363638
홍대차칸곱창,0.11833333333333335
홍스쭈꾸미 홍대본점,-0.41850000000000004
홍익닭한마리 홍대본점,-0.18972222222222224
황곱 홍대점,0.27673394495412845
효봉포차,0.5239999999999999
후라토식당 상수직영점,-0.061864406779661006
훠궈나라 홍대점,-0.007333333333333303
