기준년월,요일구분,출발 시간대,출발지_시군구코드,출발지_시도명,출발지_시군구명,출발지_중심_X좌표,출발지_중심_Y좌표,이동수단 구분,성별,연령별(10세),인구 수
202401,수,0,41271,경기도,안산시 상록구,944176,1924186,0,W,6,261.65
202401,일,8,41171,경기도,안양시 만안구,947900,1934052,2,M,4,203.59
202401,목,18,41650,경기도,포천시,978069,1996673,1,M,5,1885.16
202401,토,18,41271,경기도,안산시 상록구,944176,1924186,5,M,8,4.19
202401,월,12,41590,경기도,화성시,942172,1908000,4,W,3,5.91
202401,화,21,41390,경기도,시흥시,935643,1931618,0,M,7,3445.92
202401,금,12,41450,경기도,하남시,974018,1947095,0,M,10,14
202401,화,7,41117,경기도,수원시 영통구,960690,1919671,0,M,7,5502.8
202401,금,5,41115,경기도,수원시 팔달구,957104,1919945,7,W,2,13.81
202401,월,23,41117,경기도,수원시 영통구,960690,1919671,7,M,6,23.96
202401,금,10,41117,경기도,수원시 영통구,960690,1919671,0,W,4,4332.73
202401,금,14,41113,경기도,수원시 권선구,953861,1918083,4,M,7,15.5
202401,일,21,41273,경기도,안산시 단원구,925133,1918594,3,W,8,348.82
202401,화,8,41171,경기도,안양시 만안구,947900,1934052,1,M,9,184.99
202401,월,2,41463,경기도,용인시 기흥구,966424,1918787,3,M,7,711
202401,화,0,41171,경기도,안양시 만안구,947900,1934052,3,W,10,3.58
202401,일,18,41450,경기도,하남시,974018,1947095,0,M,5,6439.99
202401,화,5,41590,경기도,화성시,942172,1908000,3,W,4,3992.01
202401,수,4,41194,경기도,부천시 소사구,937850,1941972,1,M,7,381.03
202401,화,19,41461,경기도,용인시 처인구,978070,1911643,7,W,9,18.79
202401,월,3,41390,경기도,시흥시,935643,1931618,3,W,9,108.87
202401,화,14,41113,경기도,수원시 권선구,953861,1918083,0,M,10,20.18
202401,월,5,41210,경기도,광명시,943809,1938625,1,W,7,369.43
202401,수,8,41271,경기도,안산시 상록구,944176,1924186,7,W,3,756.57
202401,일,11,41390,경기도,시흥시,935643,1931618,1,M,3,1296.89
202401,금,20,41450,경기도,하남시,974018,1947095,2,W,8,66.99
202401,일,10,41192,경기도,부천시 원미구,936267,1944735,4,M,6,11.42
202401,토,2,41450,경기도,하남시,974018,1947095,3,M,6,910.94
202401,화,12,41273,경기도,안산시 단원구,925133,1918594,3,W,3,2364.64
202401,목,7,41196,경기도,부천시 오정구,937564,1947819,1,W,9,28.77
202401,수,9,41650,경기도,포천시,978069,1996673,2,M,8,22.84
202401,화,4,41117,경기도,수원시 영통구,960690,1919671,0,M,9,25.39
202401,화,16,41390,경기도,시흥시,935643,1931618,7,M,5,1265.96
202401,월,0,41590,경기도,화성시,942172,1908000,1,M,1,3.5
202401,수,22,41115,경기도,수원시 팔달구,957104,1919945,3,W,2,908.35
202401,일,23,41461,경기도,용인시 처인구,978070,1911643,1,M,5,16.97
202401,화,13,41465,경기도,용인시 수지구,962048,1926137,0,M,7,4012.21
202401,수,0,41465,경기도,용인시 수지구,962048,1926137,7,W,1,3.5
202401,일,14,41115,경기도,수원시 팔달구,957104,1919945,3,M,9,198.5
202401,목,4,41210,경기도,광명시,943809,1938625,3,M,10,5.52
202401,수,20,41192,경기도,부천시 원미구,936267,1944735,2,M,4,919.01
202401,월,13,41196,경기도,부천시 오정구,937564,1947819,5,M,3,6.73
202401,금,14,41271,경기도,안산시 상록구,944176,1924186,4,W,10,3.5
202401,수,4,41196,경기도,부천시 오정구,937564,1947819,7,M,5,23.74
202401,토,9,41390,경기도,시흥시,935643,1931618,1,M,5,2158.2
202401,목,21,41194,경기도,부천시 소사구,937850,1941972,2,M,6,156.46
202401,일,8,41113,경기도,수원시 권선구,953861,1918083,2,M,6,234.27
202401,수,5,41390,경기도,시흥시,935643,1931618,1,M,1,3.5
202401,화,3,41171,경기도,안양시 만안구,947900,1934052,3,M,7,724.41
202401,목,15,41271,경기도,안산시 상록구,944176,1924186,4,W,3,13.79
202401,금,14,41450,경기도,하남시,974018,1947095,0,W,4,3934.39
202401,토,17,41210,경기도,광명시,943809,1938625,3,M,1,186.19
202401,금,21,41171,경기도,안양시 만안구,947900,1934052,5,W,5,3.65
202401,금,8,41210,경기도,광명시,943809,1938625,0,M,6,5982.55
202401,토,8,41465,경기도,용인시 수지구,962048,1926137,0,W,5,5120.84
202401,토,4,41171,경기도,안양시 만안구,947900,1934052,7,M,8,11.92
202401,토,3,41115,경기도,수원시 팔달구,957104,1919945,1,W,5,88.59
202401,일,11,41465,경기도,용인시 수지구,962048,1926137,1,M,9,290.58
202401,금,6,41113,경기도,수원시 권선구,953861,1918083,5,W,2,10.47
202401,토,12,41450,경기도,하남시,974018,1947095,1,M,1,126
202401,목,2,41210,경기도,광명시,943809,1938625,7,W,5,19.96
202401,금,23,41390,경기도,시흥시,935643,1931618,7,W,7,25.84
202401,금,12,41111,경기도,수원시 장안구,955994,1924011,7,M,2,296.03
202401,수,3,41192,경기도,부천시 원미구,936267,1944735,2,W,4,8.67
202401,목,5,41590,경기도,화성시,942172,1908000,0,M,10,3.5
202401,월,3,41192,경기도,부천시 원미구,936267,1944735,2,M,2,14.97
202401,화,5,41650,경기도,포천시,978069,1996673,3,W,8,188.65
