기준년월,요일구분,출발 시간대,출발지_시군구코드,출발지_시도명,출발지_시군구명,출발지_중심_X좌표,출발지_중심_Y좌표,이동수단 구분,성별,연령별(10세),인구 수
202401,토,6,41117,경기도,수원시 영통구,960690,1919671,2,W,2,60.08
202401,수,15,41194,경기도,부천시 소사구,937850,1941972,2,M,3,407.41
202401,일,11,41111,경기도,수원시 장안구,955994,1924011,2,M,2,70.12
202401,수,16,41461,경기도,용인시 처인구,978070,1911643,0,W,8,1467.16
202401,금,23,41273,경기도,안산시 단원구,925133,1918594,3,W,2,175.79
202401,금,4,41273,경기도,안산시 단원구,925133,1918594,7,W,4,53.84
202401,월,4,41271,경기도,안산시 상록구,944176,1924186,6,M,3,8.08
202401,일,4,41171,경기도,안양시 만안구,947900,1934052,2,M,5,21.83
202401,수,11,41194,경기도,부천시 소사구,937850,1941972,2,M,3,454.32
202401,일,9,41173,경기도,안양시 동안구,951796,1933620,3,M,5,2209.38
