순번,행정구역 표준코드,구분,광역 이름,기초 이름,경도,위도,발행명,활성지수,전년 대비 2023년 발행액 증감,활성 순위,비활성 순위 (역순),이용자 제공혜택 개요,올해 대비 2024년 사업 예산 계획,최초 발행 시작일,최종 발행 중지/종료일,발행 유형,이용자 제공혜택 기간,이용자 제공혜택 대상,운영사,"2023년 연중 1인당 월 최대 구매/충전액 (만 원, 10월 기준)","2023년 연중 최대 할인/적립률 (%, 10월 기준)","2023년 발행액 (억 원, 1년간)","2023년 누적 이용자 수 (명, 10월 기준)","2023년 가맹점 수 (곳, 10월 기준)",더 알아보기 URL,비고
162,4477000000,기초,충청남도,서천군,126.6917418,36.080286,서천사랑상품권,0.90,축소,91,94,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2008-06-11,발행 중,"지류, 모바일(카드)",연중,보편,한국조폐공사,70,10,275,"35,630","2,543",https://www.seocheon.go.kr/kor/sub05_09_01.do,"모바일, 카드 기준이며, 지류 자료 확인불가"
163,4479000000,기초,충청남도,청양군,126.802238,36.459151,청양사랑상품권,0.85,축소,102,83,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,미정,2020-07-01,발행 중,"지류, 카드, 모바일",연중,보편,한국조폐공사,70,10,150,"10,677","1,012",https://localpay.komscochak.com/,-
164,4480000000,기초,충청남도,홍성군,126.660775,36.601324,홍성사랑상품권,1.00,유지,57,124,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2020-06-01,발행 중,"지류, 모바일, 카드",연중,보편,"한국조폐공사, 농협은행",50,10,400,"55,455","3,566",https://www.hongseong.go.kr/kor/sub05_031001.do,"1월, 4~12월: 10% 할인판매
2~3월: 5% 할인판매"
165,4481000000,기초,충청남도,예산군,126.504073,36.4051165,예산사랑상품권,0.99,축소,67,118,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,유지,1999-12-01,발행 중,"지류, 모바일",연중,보편,한국조폐공사,70,10,356,"25,248","3,276",https://www.yesan.go.kr/kor/sub05_03_09_01.do,-
166,4482500000,기초,충청남도,태안군,126.297913,36.74561,태안사랑상품권,0.85,축소,101,84,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2002-01-01,발행 중,"지류, 카드, 모바일",연중,보편,한국조폐공사,50,10,458,"30,852","2,523",https://www.taean.go.kr/area/sub01_10_01.do,-
167,4511000000,기초,전라북도,전주시,127.14805,35.824171,전주사랑상품권,1.00,유지,57,124,1인당 월 최대 50만 원까지 구매 금액의 10% 적립,미정,2020-11-02,발행 중,카드,연중,보편,"전북은행, KIS정보통신",50,10,"2,400","321,230","30,996",https://www.jeonju.go.kr/index.9is?contentUid=9be517a7740efb7e01754daa51d640bf&subPath=,-
168,4513000000,기초,전라북도,군산시,126.736875,35.9676263,군산사랑상품권,0.95,축소,75,110,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2018-09-03,발행 중,"지류,모바일,카드",연중,보편,한국조폐공사,50,10,"3,850","202,192","12,642",https://www.gunsan.go.kr/main/m303,-
169,4514000000,기초,전라북도,익산시,126.957786,35.948295,"익산다이로움, 익산사랑상품권",0.92,축소,80,105,1인당 월 최대 70만 원까지 구매 금액의 10% 적립,축소,2020-01-17,발행 중,"모바일,카드",연중,보편,KT,70,10,"5,300","231,983","16,442",https://www.iksan.go.kr/index.iksan?menuCd=DOM_000002004015001000,"2023년도 행안부 지침으로 인센티브 구매한도 100만원에서 70만원으로 축소 및 보유한도 최대 150만원, 혜택제공 최대 10%이내로 하여 발행량 감소 예상"
170,4518000000,기초,전라북도,정읍시,126.856038,35.569867,정읍사랑상품권,0.75,축소,125,59,1인당 월 최대 100만 원까지 구매 금액의 10% 할인 또는 적립,유지,2019-12-02,발행 중,"모바일,카드",특정,보편,한국조폐공사,100,10,600,"54,160","5,226",https://www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000103009009001,
171,4519000000,기초,전라북도,남원시,127.390438,35.416432,남원사랑상품권,1.08,확대,39,146,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,유지,2019-03-25,발행 중,"지류,모바일,카드",연중,보편,한국조폐공사,70,10,"1,192","27,121","3,712",https://www.namwon.go.kr/index.do?menuCd=DOM_000000203002008001,-
