광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
경기,김포시,202012,종합유통,마트/슈퍼마켓,슈퍼마켓 기업형,0,0,31,1268107000,73690,40906678,17209
경기,김포시,202012,종합유통,마트/슈퍼마켓,슈퍼마켓 일반형,1,3,173,4059977000,147712,23468073,27486
경기,김포시,202012,종합유통,백화점,백화점,0,0,1,7101000,270,7101070,26300
경기,김포시,202012,종합유통,아울렛,아울렛,0,0,2,4523046000,34737,2261522804,130208
경기,김포시,202012,종합유통,온라인,전자상거래,0,0,4,280819000,3794,70204664,74017
경기,김포시,202012,종합유통,전용매장,연금매장,0,0,2,10339000,91,5169500,113615
경기,김포시,202012,종합유통,편의점,편의점,7,4,517,2888475000,329685,5586992,8761
경기,김포시,202012,음식,간식,베이커리,1,1,141,567320000,47367,4023548,11977
경기,김포시,202012,전문서비스,개인병원,병원-피부과의원,0,0,8,182890000,3056,22861238,59846
경기,김포시,202012,전문서비스,개인병원,병원-정형외과,0,0,20,113696000,4067,5684814,27956
경기,김포시,202012,음식,음료,주스,0,0,7,4815000,956,687876,5037
경기,김포시,202012,음식,음료,차,0,1,4,9782000,1314,2445477,7444
경기,김포시,202012,음식,음료,커피,3,11,320,294392000,42123,919975,6989
경기,김포시,202012,음식,주점및주류판매,꼬치구이,0,0,25,19945000,439,797780,45432
경기,김포시,202012,음식,주점및주류판매,맥주/요리주점,0,1,82,40039000,1155,488278,34666
경기,김포시,202012,음식,주점및주류판매,민속주점,0,0,1,499000,11,499000,45364
경기,김포시,202012,음식,주점및주류판매,주류,0,1,1,2314000,47,2313500,49223
경기,김포시,202012,음식,주점및주류판매,포장마차,1,0,6,4534000,159,755650,28515
경기,김포시,202012,음식,패스트푸드,치킨,8,6,278,394651000,18969,1419607,20805
경기,김포시,202012,음식,패스트푸드,피자,4,0,79,150626000,6655,1906656,22633
경기,김포시,202012,음식,패스트푸드,햄버거,0,0,46,298225000,29896,6483162,9975
경기,김포시,202012,음식,유흥주점,일반 유흥주점,2,4,2,6670000,11,3335000,606364
경기,김포시,202012,음식,한식,가정식,25,21,1156,1706286000,55857,1476026,30547
